ID	Species	numCommas	KEGG_Path	KEGG_PATH_Name	count
adhE	Escherichia coli	144	KEGG_Path_075	eco00350:Tyrosine metabolism	3
adhE	Escherichia coli	144	KEGG_Path_076	eco00620:Pyruvate metabolism	4
adhE	Escherichia coli	144	KEGG_Path_077	eco00624:1- and 2-Methylnaphthalene degradation	5
adhE	Escherichia coli	144	KEGG_Path_078	eco00641:3-Chloroacrylic acid degradation	6
adhE	Escherichia coli	144	KEGG_Path_079	eco00650:Butanoate metabolism	7
adhE	Escherichia coli	144	KEGG_Path_080	eco00980:Metabolism of xenobiotics by cytochrome P450	8
adhP	Escherichia coli	 36	KEGG_Path_025	eco00010:Glycolysis / Gluconeogenesis	1
adhP	Escherichia coli	 36	KEGG_Path_026	eco00071:Fatty acid metabolism	2
adhP	Escherichia coli	 36	KEGG_Path_027	eco00350:Tyrosine metabolism	3
adhP	Escherichia coli	 36	KEGG_Path_028	eco00624:1- and 2-Methylnaphthalene degradation	4
adhP	Escherichia coli	 36	KEGG_Path_029	eco00641:3-Chloroacrylic acid degradation	5
adhP	Escherichia coli	 36	KEGG_Path_030	eco00980:Metabolism of xenobiotics by cytochrome P450	6
adiA	Escherichia coli	 17	KEGG_Path_009	eco00330:Arginine and proline metabolism	1
adk	Escherichia coli	 22	KEGG_Path_011	eco00230:Purine metabolism	1
aer	Escherichia coli	 36	KEGG_Path_019	eco02020:Two-component system	1
aer	Escherichia coli	 36	KEGG_Path_020	eco02030:Bacterial chemotaxis	2
agaB	Escherichia coli	 26	KEGG_Path_015	eco00052:Galactose metabolism	1
agaB	Escherichia coli	 26	KEGG_Path_016	eco02060:Phosphotransferase system (PTS)	2
agaC	Escherichia coli	 20	KEGG_Path_013	eco00052:Galactose metabolism	1
agaC	Escherichia coli	 20	KEGG_Path_014	eco02060:Phosphotransferase system (PTS)	2
agaD	Escherichia coli	 36	KEGG_Path_019	eco00052:Galactose metabolism	1
agaD	Escherichia coli	 36	KEGG_Path_020	eco02060:Phosphotransferase system (PTS)	2
agaI	Escherichia coli	  9	KEGG_Path_006	eco00052:Galactose metabolism	1
agaV	Escherichia coli	 36	KEGG_Path_019	eco00052:Galactose metabolism	1
agaV	Escherichia coli	 36	KEGG_Path_020	eco02060:Phosphotransferase system (PTS)	2
agp	Escherichia coli	 17	KEGG_Path_010	eco00010:Glycolysis / Gluconeogenesis	1
alaS	Escherichia coli	 21	KEGG_Path_010	eco00970:Aminoacyl-tRNA biosynthesis	1
aldA	Escherichia coli	 34	KEGG_Path_019	eco00620:Pyruvate metabolism	1
aldA	Escherichia coli	 34	KEGG_Path_020	eco00630:Glyoxylate and dicarboxylate metabolism	2
aldB	Escherichia coli	 14	KEGG_Path_009	eco00620:Pyruvate metabolism	1
alkA	Escherichia coli	 18	KEGG_Path_010	eco03410:Base excision repair	1
allA	Escherichia coli	 14	KEGG_Path_007	eco00230:Purine metabolism	1
allB	Escherichia coli	 10	KEGG_Path_006	eco00230:Purine metabolism	1
allC	Escherichia coli	 14	KEGG_Path_006	eco00230:Purine metabolism	1
allD	Escherichia coli	 16	KEGG_Path_008	eco00230:Purine metabolism	1
alr	Escherichia coli	 22	KEGG_Path_011	eco00473:D-Alanine metabolism	1
alsA	Escherichia coli	 10	KEGG_Path_006	eco02010:ABC transporters	1
alsB	Escherichia coli	  4	KEGG_Path_004	eco02010:ABC transporters	1
alsC	Escherichia coli	  8	KEGG_Path_005	eco02010:ABC transporters	1
amn	Escherichia coli	 18	KEGG_Path_010	eco00230:Purine metabolism	1
ampC	Escherichia coli	 17	KEGG_Path_009	eco02020:Two-component system	1
ansA	Escherichia coli	 66	KEGG_Path_031	eco00250:Alanine, aspartate and glutamate metabolism	1
ansA	Escherichia coli	 66	KEGG_Path_032	eco00460:Cyanoamino acid metabolism	2
ansA	Escherichia coli	 66	KEGG_Path_033	eco00910:Nitrogen metabolism	3
ansB	Escherichia coli	 66	KEGG_Path_031	eco00250:Alanine, aspartate and glutamate metabolism	1
ansB	Escherichia coli	 66	KEGG_Path_032	eco00460:Cyanoamino acid metabolism	2
ansB	Escherichia coli	 66	KEGG_Path_033	eco00910:Nitrogen metabolism	3
apaH	Escherichia coli	 22	KEGG_Path_011	eco00230:Purine metabolism	1
aphA	Escherichia coli	 42	KEGG_Path_021	eco00361:gamma-Hexachlorocyclohexane degradation	1
aphA	Escherichia coli	 42	KEGG_Path_022	eco00740:Riboflavin metabolism	2
appA	Escherichia coli	 54	KEGG_Path_028	eco00361:gamma-Hexachlorocyclohexane degradation	1
appA	Escherichia coli	 54	KEGG_Path_029	eco00562:Inositol phosphate metabolism	2
appA	Escherichia coli	 54	KEGG_Path_030	eco00740:Riboflavin metabolism	3
appB	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
appC	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
appY	Escherichia coli	  3	KEGG_Path_003	eco02020:Two-component system	1
apt	Escherichia coli	 18	KEGG_Path_010	eco00230:Purine metabolism	1
araA	Escherichia coli	 17	KEGG_Path_009	eco00040:Pentose and glucuronate interconversions	1
araB	Escherichia coli	 17	KEGG_Path_009	eco00040:Pentose and glucuronate interconversions	1
araD	Escherichia coli	 21	KEGG_Path_010	eco00040:Pentose and glucuronate interconversions	1
araF	Escherichia coli	 18	KEGG_Path_010	eco02010:ABC transporters	1
araG	Escherichia coli	 22	KEGG_Path_011	eco02010:ABC transporters	1
araH	Escherichia coli	 20	KEGG_Path_010	eco02010:ABC transporters	1
arcA	Escherichia coli	 18	KEGG_Path_010	eco02020:Two-component system	1
arcB	Escherichia coli	 20	KEGG_Path_010	eco02020:Two-component system	1
argA	Escherichia coli	 18	KEGG_Path_010	eco00330:Arginine and proline metabolism	1
argB	Escherichia coli	 18	KEGG_Path_010	eco00330:Arginine and proline metabolism	1
argC	Escherichia coli	 22	KEGG_Path_011	eco00330:Arginine and proline metabolism	1
argD	Escherichia coli	 44	KEGG_Path_021	eco00300:Lysine biosynthesis	1
argD	Escherichia coli	 44	KEGG_Path_022	eco00330:Arginine and proline metabolism	2
argE	Escherichia coli	 18	KEGG_Path_010	eco00330:Arginine and proline metabolism	1
argG	Escherichia coli	 36	KEGG_Path_019	eco00250:Alanine, aspartate and glutamate metabolism	1
argG	Escherichia coli	 36	KEGG_Path_020	eco00330:Arginine and proline metabolism	2
argH	Escherichia coli	 36	KEGG_Path_019	eco00250:Alanine, aspartate and glutamate metabolism	1
argH	Escherichia coli	 36	KEGG_Path_020	eco00330:Arginine and proline metabolism	2
argI	Escherichia coli	 14	KEGG_Path_008	eco00330:Arginine and proline metabolism	1
argS	Escherichia coli	 22	KEGG_Path_011	eco00970:Aminoacyl-tRNA biosynthesis	1
argT	Escherichia coli	 16	KEGG_Path_009	eco02010:ABC transporters	1
aroA	Escherichia coli	 18	KEGG_Path_010	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
aroB	Escherichia coli	 22	KEGG_Path_011	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
aroC	Escherichia coli	 18	KEGG_Path_010	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
aroD	Escherichia coli	 22	KEGG_Path_011	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
aroE	Escherichia coli	 22	KEGG_Path_011	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
aroF	Escherichia coli	 18	KEGG_Path_010	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
aroG	Escherichia coli	 18	KEGG_Path_010	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
aroH	Escherichia coli	 18	KEGG_Path_010	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
aroK	Escherichia coli	 22	KEGG_Path_011	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
aroL	Escherichia coli	 22	KEGG_Path_011	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	1
artI	Escherichia coli	 18	KEGG_Path_010	eco02010:ABC transporters	1
artJ	Escherichia coli	 18	KEGG_Path_010	eco02010:ABC transporters	1
artM	Escherichia coli	 22	KEGG_Path_011	eco02010:ABC transporters	1
artP	Escherichia coli	 22	KEGG_Path_011	eco02010:ABC transporters	1
artQ	Escherichia coli	 18	KEGG_Path_010	eco02010:ABC transporters	1
ascB	Escherichia coli	 15	KEGG_Path_008	eco00010:Glycolysis / Gluconeogenesis	1
ascF	Escherichia coli	 30	KEGG_Path_015	eco00010:Glycolysis / Gluconeogenesis	1
ascF	Escherichia coli	 30	KEGG_Path_016	eco02060:Phosphotransferase system (PTS)	2
asd	Escherichia coli	 54	KEGG_Path_028	eco00260:Glycine, serine and threonine metabolism	1
asd	Escherichia coli	 54	KEGG_Path_029	eco00270:Cysteine and methionine metabolism	2
asd	Escherichia coli	 54	KEGG_Path_030	eco00300:Lysine biosynthesis	3
aslA	Escherichia coli	 12	KEGG_Path_008	eco00600:Sphingolipid metabolism	1
asnA	Escherichia coli	 54	KEGG_Path_028	eco00250:Alanine, aspartate and glutamate metabolism	1
asnA	Escherichia coli	 54	KEGG_Path_029	eco00460:Cyanoamino acid metabolism	2
asnA	Escherichia coli	 54	KEGG_Path_030	eco00910:Nitrogen metabolism	3
asnB	Escherichia coli	 44	KEGG_Path_021	eco00250:Alanine, aspartate and glutamate metabolism	1
asnB	Escherichia coli	 44	KEGG_Path_022	eco00910:Nitrogen metabolism	2
aspA	Escherichia coli	 44	KEGG_Path_021	eco00250:Alanine, aspartate and glutamate metabolism	1
aspA	Escherichia coli	 44	KEGG_Path_022	eco00910:Nitrogen metabolism	2
aspC	Escherichia coli	126	KEGG_Path_064	eco00250:Alanine, aspartate and glutamate metabolism	1
aspC	Escherichia coli	126	KEGG_Path_065	eco00270:Cysteine and methionine metabolism	2
aspC	Escherichia coli	126	KEGG_Path_066	eco00330:Arginine and proline metabolism	3
aspC	Escherichia coli	126	KEGG_Path_067	eco00350:Tyrosine metabolism	4
aspC	Escherichia coli	126	KEGG_Path_068	eco00360:Phenylalanine metabolism	5
aspC	Escherichia coli	126	KEGG_Path_069	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis	6
aspC	Escherichia coli	126	KEGG_Path_070	eco00401:Novobiocin biosynthesis	7
aspS	Escherichia coli	 22	KEGG_Path_011	eco00970:Aminoacyl-tRNA biosynthesis	1
astA	Escherichia coli	 16	KEGG_Path_008	eco00330:Arginine and proline metabolism	1
astB	Escherichia coli	 16	KEGG_Path_008	eco00330:Arginine and proline metabolism	1
astC	Escherichia coli	 15	KEGG_Path_008	eco00330:Arginine and proline metabolism	1
astD	Escherichia coli	 21	KEGG_Path_011	eco00330:Arginine and proline metabolism	1
astE	Escherichia coli	 14	KEGG_Path_007	eco00330:Arginine and proline metabolism	1
atoA	Escherichia coli	 20	KEGG_Path_013	eco00632:Benzoate degradation via CoA ligation	1
atoA	Escherichia coli	 20	KEGG_Path_014	eco00640:Propanoate metabolism	2
atoA	Escherichia coli	 20	KEGG_Path_015	eco00650:Butanoate metabolism	3
atoA	Escherichia coli	 20	KEGG_Path_016	eco02020:Two-component system	4
atoB	Escherichia coli	130	KEGG_Path_061	eco00071:Fatty acid metabolism	1
atoB	Escherichia coli	130	KEGG_Path_062	eco00280:Valine, leucine and isoleucine degradation	2
atoB	Escherichia coli	130	KEGG_Path_063	eco00310:Lysine degradation	3
atoB	Escherichia coli	130	KEGG_Path_064	eco00380:Tryptophan metabolism	4
atoB	Escherichia coli	130	KEGG_Path_065	eco00620:Pyruvate metabolism	5
atoB	Escherichia coli	130	KEGG_Path_066	eco00632:Benzoate degradation via CoA ligation	6
atoB	Escherichia coli	130	KEGG_Path_067	eco00640:Propanoate metabolism	7
atoB	Escherichia coli	130	KEGG_Path_068	eco00650:Butanoate metabolism	8
atoB	Escherichia coli	130	KEGG_Path_069	eco00900:Terpenoid backbone biosynthesis	9
atoB	Escherichia coli	130	KEGG_Path_070	eco02020:Two-component system	10
atoC	Escherichia coli	  8	KEGG_Path_006	eco02020:Two-component system	1
atoD	Escherichia coli	 44	KEGG_Path_021	eco00632:Benzoate degradation via CoA ligation	1
atoD	Escherichia coli	 44	KEGG_Path_022	eco00640:Propanoate metabolism	2
atoD	Escherichia coli	 44	KEGG_Path_023	eco00650:Butanoate metabolism	3
atoD	Escherichia coli	 44	KEGG_Path_024	eco02020:Two-component system	4
atoE	Escherichia coli	 11	KEGG_Path_006	eco02020:Two-component system	1
atoS	Escherichia coli	 13	KEGG_Path_007	eco02020:Two-component system	1
atpA	Escherichia coli	 17	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
atpB	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
atpC	Escherichia coli	 21	KEGG_Path_011	eco00190:Oxidative phosphorylation	1
atpD	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
atpE	Escherichia coli	 17	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
atpF	Escherichia coli	 17	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
atpG	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
atpH	Escherichia coli	 17	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
avtA	Escherichia coli	 22	KEGG_Path_011	eco00290:Valine, leucine and isoleucine biosynthesis	1
baeR	Escherichia coli	 17	KEGG_Path_010	eco02020:Two-component system	1
baeS	Escherichia coli	 18	KEGG_Path_010	eco02020:Two-component system	1
barA	Escherichia coli	 16	KEGG_Path_009	eco02020:Two-component system	1
basR	Escherichia coli	 18	KEGG_Path_010	eco02020:Two-component system	1
basS	Escherichia coli	 18	KEGG_Path_010	eco02020:Two-component system	1
bcsA	Escherichia coli	 19	KEGG_Path_011	eco00500:Starch and sucrose metabolism	1
bcsZ	Escherichia coli	 14	KEGG_Path_007	eco00500:Starch and sucrose metabolism	1
betA	Escherichia coli	 17	KEGG_Path_010	eco00260:Glycine, serine and threonine metabolism	1
betB	Escherichia coli	 17	KEGG_Path_010	eco00260:Glycine, serine and threonine metabolism	1
bglA	Escherichia coli	 18	KEGG_Path_010	eco00010:Glycolysis / Gluconeogenesis	1
bglB	Escherichia coli	 11	KEGG_Path_007	eco00010:Glycolysis / Gluconeogenesis	1
bglF	Escherichia coli	 13	KEGG_Path_007	eco02060:Phosphotransferase system (PTS)	1
bglX	Escherichia coli	 36	KEGG_Path_019	eco00460:Cyanoamino acid metabolism	1
bglX	Escherichia coli	 36	KEGG_Path_020	eco00500:Starch and sucrose metabolism	2
bioA	Escherichia coli	 18	KEGG_Path_010	eco00780:Biotin metabolism	1
bioB	Escherichia coli	 18	KEGG_Path_010	eco00780:Biotin metabolism	1
bioD	Escherichia coli	 22	KEGG_Path_011	eco00780:Biotin metabolism	1
bioF	Escherichia coli	 18	KEGG_Path_010	eco00780:Biotin metabolism	1
birA	Escherichia coli	 19	KEGG_Path_010	eco00780:Biotin metabolism	1
btuC	Escherichia coli	 18	KEGG_Path_010	eco02010:ABC transporters	1
btuD	Escherichia coli	 17	KEGG_Path_010	eco02010:ABC transporters	1
btuE	Escherichia coli	 44	KEGG_Path_021	eco00480:Glutathione metabolism	1
btuE	Escherichia coli	 44	KEGG_Path_022	eco00590:Arachidonic acid metabolism	2
btuR	Escherichia coli	 18	KEGG_Path_010	eco00860:Porphyrin and chlorophyll metabolism	1
cadA	Escherichia coli	 14	KEGG_Path_008	eco00310:Lysine degradation	1
carA	Escherichia coli	 36	KEGG_Path_019	eco00240:Pyrimidine metabolism	1
carA	Escherichia coli	 36	KEGG_Path_020	eco00250:Alanine, aspartate and glutamate metabolism	2
carB	Escherichia coli	 44	KEGG_Path_021	eco00240:Pyrimidine metabolism	1
carB	Escherichia coli	 44	KEGG_Path_022	eco00250:Alanine, aspartate and glutamate metabolism	2
ccmA	Escherichia coli	 18	KEGG_Path_010	eco02010:ABC transporters	1
ccmB	Escherichia coli	 18	KEGG_Path_010	eco02010:ABC transporters	1
ccmC	Escherichia coli	 18	KEGG_Path_010	eco02010:ABC transporters	1
cdd	Escherichia coli	 18	KEGG_Path_010	eco00240:Pyrimidine metabolism	1
cdh	Escherichia coli	 18	KEGG_Path_010	eco00564:Glycerophospholipid metabolism	1
cdsA	Escherichia coli	 22	KEGG_Path_011	eco00564:Glycerophospholipid metabolism	1
cheA	Escherichia coli	 34	KEGG_Path_017	eco02020:Two-component system	1
cheA	Escherichia coli	 34	KEGG_Path_018	eco02030:Bacterial chemotaxis	2
cheB	Escherichia coli	 36	KEGG_Path_019	eco02020:Two-component system	1
cheB	Escherichia coli	 36	KEGG_Path_020	eco02030:Bacterial chemotaxis	2
cheR	Escherichia coli	 36	KEGG_Path_019	eco02020:Two-component system	1
cheR	Escherichia coli	 36	KEGG_Path_020	eco02030:Bacterial chemotaxis	2
cheW	Escherichia coli	 36	KEGG_Path_019	eco02020:Two-component system	1
cheW	Escherichia coli	 36	KEGG_Path_020	eco02030:Bacterial chemotaxis	2
cheY	Escherichia coli	 36	KEGG_Path_019	eco02020:Two-component system	1
cheY	Escherichia coli	 36	KEGG_Path_020	eco02030:Bacterial chemotaxis	2
cheZ	Escherichia coli	 18	KEGG_Path_010	eco02030:Bacterial chemotaxis	1
chiA	Escherichia coli	  6	KEGG_Path_003	eco00520:Amino sugar and nucleotide sugar metabolism	1
citC	Escherichia coli	 17	KEGG_Path_010	eco02020:Two-component system	1
citD	Escherichia coli	 32	KEGG_Path_017	eco00020:Citrate cycle (TCA cycle)	1
citD	Escherichia coli	 32	KEGG_Path_018	eco02020:Two-component system	2
citE	Escherichia coli	 36	KEGG_Path_019	eco00020:Citrate cycle (TCA cycle)	1
citE	Escherichia coli	 36	KEGG_Path_020	eco02020:Two-component system	2
citF	Escherichia coli	 36	KEGG_Path_019	eco00020:Citrate cycle (TCA cycle)	1
citF	Escherichia coli	 36	KEGG_Path_020	eco02020:Two-component system	2
citG	Escherichia coli	 22	KEGG_Path_011	eco02020:Two-component system	1
citT	Escherichia coli	  5	KEGG_Path_004	eco02020:Two-component system	1
citX	Escherichia coli	 22	KEGG_Path_011	eco02020:Two-component system	1
cls	Escherichia coli	 22	KEGG_Path_011	eco00564:Glycerophospholipid metabolism	1
cmk	Escherichia coli	 22	KEGG_Path_011	eco00240:Pyrimidine metabolism	1
cmtA	Escherichia coli	 22	KEGG_Path_009	eco00051:Fructose and mannose metabolism	1
cmtA	Escherichia coli	 22	KEGG_Path_010	eco02060:Phosphotransferase system (PTS)	2
cmtB	Escherichia coli	 28	KEGG_Path_017	eco00051:Fructose and mannose metabolism	1
cmtB	Escherichia coli	 28	KEGG_Path_018	eco02060:Phosphotransferase system (PTS)	2
coaA	Escherichia coli	 18	KEGG_Path_010	eco00770:Pantothenate and CoA biosynthesis	1
coaD	Escherichia coli	 21	KEGG_Path_011	eco00770:Pantothenate and CoA biosynthesis	1
coaE	Escherichia coli	 22	KEGG_Path_011	eco00770:Pantothenate and CoA biosynthesis	1
cobB	Escherichia coli	 14	KEGG_Path_008	eco00520:Amino sugar and nucleotide sugar metabolism	1
cobS	Escherichia coli	 22	KEGG_Path_011	eco00860:Porphyrin and chlorophyll metabolism	1
cobT	Escherichia coli	 44	KEGG_Path_021	eco00740:Riboflavin metabolism	1
cobT	Escherichia coli	 44	KEGG_Path_022	eco00860:Porphyrin and chlorophyll metabolism	2
cobU	Escherichia coli	 21	KEGG_Path_010	eco00860:Porphyrin and chlorophyll metabolism	1
codA	Escherichia coli	 34	KEGG_Path_017	eco00240:Pyrimidine metabolism	1
codA	Escherichia coli	 34	KEGG_Path_018	eco00330:Arginine and proline metabolism	2
cpdB	Escherichia coli	 42	KEGG_Path_019	eco00230:Purine metabolism	1
cpdB	Escherichia coli	 42	KEGG_Path_020	eco00240:Pyrimidine metabolism	2
cpsB	Escherichia coli	 32	KEGG_Path_019	eco00051:Fructose and mannose metabolism	1
cpsB	Escherichia coli	 32	KEGG_Path_020	eco00520:Amino sugar and nucleotide sugar metabolism	2
cpsG	Escherichia coli	 32	KEGG_Path_019	eco00051:Fructose and mannose metabolism	1
cpsG	Escherichia coli	 32	KEGG_Path_020	eco00520:Amino sugar and nucleotide sugar metabolism	2
cpxA	Escherichia coli	 22	KEGG_Path_011	eco02020:Two-component system	1
cpxR	Escherichia coli	 18	KEGG_Path_010	eco02020:Two-component system	1
creB	Escherichia coli	 18	KEGG_Path_010	eco02020:Two-component system	1
creC	Escherichia coli	 18	KEGG_Path_010	eco02020:Two-component system	1
crr	Escherichia coli	 72	KEGG_Path_037	eco00010:Glycolysis / Gluconeogenesis	1
crr	Escherichia coli	 72	KEGG_Path_038	eco00500:Starch and sucrose metabolism	2
crr	Escherichia coli	 72	KEGG_Path_039	eco00520:Amino sugar and nucleotide sugar metabolism	3
crr	Escherichia coli	 72	KEGG_Path_040	eco02060:Phosphotransferase system (PTS)	4
csrA	Escherichia coli	 17	KEGG_Path_010	eco02020:Two-component system	1
cusA	Escherichia coli	 17	KEGG_Path_009	eco02020:Two-component system	1
cusB	Escherichia coli	 16	KEGG_Path_008	eco02020:Two-component system	1
cusC	Escherichia coli	 17	KEGG_Path_009	eco02020:Two-component system	1
cusR	Escherichia coli	 15	KEGG_Path_008	eco02020:Two-component system	1
cusS	Escherichia coli	 17	KEGG_Path_009	eco02020:Two-component system	1
cyaA	Escherichia coli	 21	KEGG_Path_010	eco00230:Purine metabolism	1
cydA	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
cydB	Escherichia coli	 14	KEGG_Path_008	eco00190:Oxidative phosphorylation	1
cydC	Escherichia coli	 11	KEGG_Path_008	eco02010:ABC transporters	1
cydD	Escherichia coli	 16	KEGG_Path_009	eco02010:ABC transporters	1
cynS	Escherichia coli	 12	KEGG_Path_007	eco00910:Nitrogen metabolism	1
cynT	Escherichia coli	 11	KEGG_Path_006	eco00910:Nitrogen metabolism	1
cyoA	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
cyoB	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
cyoC	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
cyoD	Escherichia coli	 18	KEGG_Path_010	eco00190:Oxidative phosphorylation	1
cyoE	Escherichia coli	 36	KEGG_Path_019	eco00190:Oxidative phosphorylation	1
cyoE	Escherichia coli	 36	KEGG_Path_020	eco00860:Porphyrin and chlorophyll metabolism	2
cysA	Escherichia coli	 18	KEGG_Path_010	eco02010:ABC transporters	1
cysC	Escherichia coli	 54	KEGG_Path_028	eco00230:Purine metabolism	1
cysC	Escherichia coli	 54	KEGG_Path_029	eco00450:Selenoamino acid metabolism	2
cysC	Escherichia coli	 54	KEGG_Path_030	eco00920:Sulfur metabolism	3
cysD	Escherichia coli	 54	KEGG_Path_028	eco00230:Purine metabolism	1
cysD	Escherichia coli	 54	KEGG_Path_029	eco00450:Selenoamino acid metabolism	2
cysD	Escherichia coli	 54	KEGG_Path_030	eco00920:Sulfur metabolism	3
cysE	Escherichia coli	 44	KEGG_Path_021	eco00270:Cysteine and methionine metabolism	1
cysE	Escherichia coli	 44	KEGG_Path_022	eco00920:Sulfur metabolism	2
cysG	Escherichia coli	 22	KEGG_Path_011	eco00860:Porphyrin and chlorophyll metabolism	1
cysH	Escherichia coli	 18	KEGG_Path_010	eco00920:Sulfur metabolism	1
cysI	Escherichia coli	 17	KEGG_Path_009	eco00920:Sulfur metabolism	1
cysJ	Escherichia coli	 22	KEGG_Path_011	eco00920:Sulfur metabolism	1
cysK	Escherichia coli	 54	KEGG_Path_028	eco00270:Cysteine and methionine metabolism	1
cysK	Escherichia coli	 54	KEGG_Path_029	eco00450:Selenoamino acid metabolism	2
cysK	Escherichia coli	 54	KEGG_Path_030	eco00920:Sulfur metabolism	3
cysM	Escherichia coli	 66	KEGG_Path_031	eco00270:Cysteine and methionine metabolism	1
cysM	Escherichia coli	 66	KEGG_Path_032	eco00450:Selenoamino acid metabolism	2
cysM	Escherichia coli	 66	KEGG_Path_033	eco00920:Sulfur metabolism	3
