ID	Species	numCommas	MF_Number	MF_Name
accD	Escherichia coli	16	MF_001	GO:0000166~nucleotide binding
accD	Escherichia coli	16	MF_002	GO:0001882~nucleoside binding
accD	Escherichia coli	16	MF_003	GO:0001883~purine nucleoside binding
accD	Escherichia coli	16	MF_004	GO:0003989~acetyl-CoA carboxylase activity
accD	Escherichia coli	16	MF_005	GO:0005524~ATP binding
accD	Escherichia coli	16	MF_006	GO:0008270~zinc ion binding
accD	Escherichia coli	16	MF_007	GO:0016885~ligase activity, forming carbon-carbon bonds
accD	Escherichia coli	16	MF_008	GO:0017076~purine nucleotide binding
accD	Escherichia coli	16	MF_009	GO:0030554~adenyl nucleotide binding
accD	Escherichia coli	16	MF_010	GO:0032553~ribonucleotide binding
accD	Escherichia coli	16	MF_011	GO:0032555~purine ribonucleotide binding
accD	Escherichia coli	16	MF_012	GO:0032559~adenyl ribonucleotide binding
accD	Escherichia coli	16	MF_013	GO:0043167~ion binding
accD	Escherichia coli	16	MF_014	GO:0043169~cation binding
accD	Escherichia coli	16	MF_015	GO:0046872~metal ion binding
accD	Escherichia coli	16	MF_016	GO:0046914~transition metal ion binding
aceA	Escherichia coli	 2	MF_001	GO:0004451~isocitrate lyase activity
aceA	Escherichia coli	 2	MF_002	GO:0016833~oxo-acid-lyase activity
aceB	Escherichia coli	 2	MF_001	GO:0004474~malate synthase activity
aceB	Escherichia coli	 2	MF_002	GO:0046912~transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer
aceE	Escherichia coli	 7	MF_001	GO:0000287~magnesium ion binding
aceE	Escherichia coli	 7	MF_002	GO:0004738~pyruvate dehydrogenase activity
aceE	Escherichia coli	 7	MF_003	GO:0004739~pyruvate dehydrogenase (acetyl-transferring) activity
aceE	Escherichia coli	 7	MF_004	GO:0016624~oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
aceE	Escherichia coli	 7	MF_005	GO:0043167~ion binding
aceE	Escherichia coli	 7	MF_006	GO:0043169~cation binding
aceE	Escherichia coli	 7	MF_007	GO:0046872~metal ion binding
aceF	Escherichia coli	12	MF_001	GO:0004149~dihydrolipoyllysine-residue succinyltransferase activity
aceF	Escherichia coli	12	MF_002	GO:0004742~dihydrolipoyllysine-residue acetyltransferase activity
aceF	Escherichia coli	12	MF_003	GO:0016407~acetyltransferase activity
aceF	Escherichia coli	12	MF_004	GO:0016417~S-acyltransferase activity
aceF	Escherichia coli	12	MF_005	GO:0016418~S-acetyltransferase activity
aceF	Escherichia coli	12	MF_006	GO:0016748~succinyltransferase activity
aceF	Escherichia coli	12	MF_007	GO:0016751~S-succinyltransferase activity
aceF	Escherichia coli	12	MF_008	GO:0030523~dihydrolipoamide S-acyltransferase activity
aceF	Escherichia coli	12	MF_009	GO:0031405~lipoic acid binding
aceF	Escherichia coli	12	MF_010	GO:0031406~carboxylic acid binding
aceF	Escherichia coli	12	MF_011	GO:0048037~cofactor binding
aceF	Escherichia coli	12	MF_012	GO:0050662~coenzyme binding
aceK	Escherichia coli	13	MF_001	GO:0000166~nucleotide binding
aceK	Escherichia coli	13	MF_002	GO:0001882~nucleoside binding
aceK	Escherichia coli	13	MF_003	GO:0001883~purine nucleoside binding
aceK	Escherichia coli	13	MF_004	GO:0004672~protein kinase activity
aceK	Escherichia coli	13	MF_005	GO:0004721~phosphoprotein phosphatase activity
aceK	Escherichia coli	13	MF_006	GO:0005524~ATP binding
aceK	Escherichia coli	13	MF_007	GO:0008772~[isocitrate dehydrogenase (NADP+)] kinase activity
aceK	Escherichia coli	13	MF_008	GO:0016791~phosphatase activity
aceK	Escherichia coli	13	MF_009	GO:0017076~purine nucleotide binding
aceK	Escherichia coli	13	MF_010	GO:0030554~adenyl nucleotide binding
aceK	Escherichia coli	13	MF_011	GO:0032553~ribonucleotide binding
aceK	Escherichia coli	13	MF_012	GO:0032555~purine ribonucleotide binding
aceK	Escherichia coli	13	MF_013	GO:0032559~adenyl ribonucleotide binding
ackA	Escherichia coli	11	MF_001	GO:0000166~nucleotide binding
ackA	Escherichia coli	11	MF_002	GO:0001882~nucleoside binding
ackA	Escherichia coli	11	MF_003	GO:0001883~purine nucleoside binding
ackA	Escherichia coli	11	MF_004	GO:0005524~ATP binding
ackA	Escherichia coli	11	MF_005	GO:0008776~acetate kinase activity
ackA	Escherichia coli	11	MF_006	GO:0016774~phosphotransferase activity, carboxyl group as acceptor
ackA	Escherichia coli	11	MF_007	GO:0017076~purine nucleotide binding
ackA	Escherichia coli	11	MF_008	GO:0030554~adenyl nucleotide binding
ackA	Escherichia coli	11	MF_009	GO:0032553~ribonucleotide binding
ackA	Escherichia coli	11	MF_010	GO:0032555~purine ribonucleotide binding
ackA	Escherichia coli	11	MF_011	GO:0032559~adenyl ribonucleotide binding
acnA	Escherichia coli	10	MF_001	GO:0003994~aconitate hydratase activity
acnA	Escherichia coli	10	MF_002	GO:0005506~iron ion binding
acnA	Escherichia coli	10	MF_003	GO:0016836~hydro-lyase activity
acnA	Escherichia coli	10	MF_004	GO:0043167~ion binding
acnA	Escherichia coli	10	MF_005	GO:0043169~cation binding
acnA	Escherichia coli	10	MF_006	GO:0046872~metal ion binding
acnA	Escherichia coli	10	MF_007	GO:0046914~transition metal ion binding
acnA	Escherichia coli	10	MF_008	GO:0051536~iron-sulfur cluster binding
acnA	Escherichia coli	10	MF_009	GO:0051539~4 iron, 4 sulfur cluster binding
acnA	Escherichia coli	10	MF_010	GO:0051540~metal cluster binding
acnB	Escherichia coli	11	MF_001	GO:0003994~aconitate hydratase activity
acnB	Escherichia coli	11	MF_002	GO:0005506~iron ion binding
acnB	Escherichia coli	11	MF_003	GO:0016836~hydro-lyase activity
acnB	Escherichia coli	11	MF_004	GO:0043167~ion binding
acnB	Escherichia coli	11	MF_005	GO:0043169~cation binding
acnB	Escherichia coli	11	MF_006	GO:0046872~metal ion binding
acnB	Escherichia coli	11	MF_007	GO:0046914~transition metal ion binding
acnB	Escherichia coli	11	MF_008	GO:0047456~2-methylisocitrate dehydratase activity
acnB	Escherichia coli	11	MF_009	GO:0051536~iron-sulfur cluster binding
acnB	Escherichia coli	11	MF_010	GO:0051539~4 iron, 4 sulfur cluster binding
acnB	Escherichia coli	11	MF_011	GO:0051540~metal cluster binding
acpD	Escherichia coli	10	MF_001	GO:0000166~nucleotide binding
acpD	Escherichia coli	10	MF_002	GO:0008752~FMN reductase activity
acpD	Escherichia coli	10	MF_003	GO:0009055~electron carrier activity
acpD	Escherichia coli	10	MF_004	GO:0010181~FMN binding
acpD	Escherichia coli	10	MF_005	GO:0016645~oxidoreductase activity, acting on the CH-NH group of donors
acpD	Escherichia coli	10	MF_006	GO:0016646~oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
acpD	Escherichia coli	10	MF_007	GO:0016651~oxidoreductase activity, acting on NADH or NADPH
acpD	Escherichia coli	10	MF_008	GO:0016652~oxidoreductase activity, acting on NADH or NADPH, NAD or NADP as acceptor
acpD	Escherichia coli	10	MF_009	GO:0048037~cofactor binding
acpD	Escherichia coli	10	MF_010	GO:0050662~coenzyme binding
acpP	Escherichia coli	 7	MF_001	GO:0000036~acyl carrier activity
acpP	Escherichia coli	 7	MF_002	GO:0016597~amino acid binding
acpP	Escherichia coli	 7	MF_003	GO:0019842~vitamin binding
acpP	Escherichia coli	 7	MF_004	GO:0031177~phosphopantetheine binding
acpP	Escherichia coli	 7	MF_005	GO:0031406~carboxylic acid binding
acpP	Escherichia coli	 7	MF_006	GO:0043176~amine binding
acpP	Escherichia coli	 7	MF_007	GO:0048037~cofactor binding
acpS	Escherichia coli	 6	MF_001	GO:0000287~magnesium ion binding
acpS	Escherichia coli	 6	MF_002	GO:0008897~holo-[acyl-carrier-protein] synthase activity
acpS	Escherichia coli	 6	MF_003	GO:0016780~phosphotransferase activity, for other substituted phosphate groups
acpS	Escherichia coli	 6	MF_004	GO:0043167~ion binding
acpS	Escherichia coli	 6	MF_005	GO:0043169~cation binding
acpS	Escherichia coli	 6	MF_006	GO:0046872~metal ion binding
acpT	Escherichia coli	 6	MF_001	GO:0000287~magnesium ion binding
acpT	Escherichia coli	 6	MF_002	GO:0008897~holo-[acyl-carrier-protein] synthase activity
acpT	Escherichia coli	 6	MF_003	GO:0016780~phosphotransferase activity, for other substituted phosphate groups
acpT	Escherichia coli	 6	MF_004	GO:0043167~ion binding
acpT	Escherichia coli	 6	MF_005	GO:0043169~cation binding
acpT	Escherichia coli	 6	MF_006	GO:0046872~metal ion binding
acrA	Escherichia coli	 1	MF_001	GO:0008565~protein transporter activity
acrE	Escherichia coli	 1	MF_001	GO:0008565~protein transporter activity
acrR	Escherichia coli	 3	MF_001	GO:0003677~DNA binding
acrR	Escherichia coli	 3	MF_002	GO:0003700~transcription factor activity
acrR	Escherichia coli	 3	MF_003	GO:0030528~transcription regulator activity
acs	Escherichia coli	14	MF_001	GO:0000166~nucleotide binding
acs	Escherichia coli	14	MF_002	GO:0001882~nucleoside binding
acs	Escherichia coli	14	MF_003	GO:0001883~purine nucleoside binding
acs	Escherichia coli	14	MF_004	GO:0003987~acetate-CoA ligase activity
acs	Escherichia coli	14	MF_005	GO:0005524~ATP binding
acs	Escherichia coli	14	MF_006	GO:0016208~AMP binding
acs	Escherichia coli	14	MF_007	GO:0016405~CoA-ligase activity
acs	Escherichia coli	14	MF_008	GO:0016877~ligase activity, forming carbon-sulfur bonds
acs	Escherichia coli	14	MF_009	GO:0016878~acid-thiol ligase activity
acs	Escherichia coli	14	MF_010	GO:0017076~purine nucleotide binding
acs	Escherichia coli	14	MF_011	GO:0030554~adenyl nucleotide binding
acs	Escherichia coli	14	MF_012	GO:0032553~ribonucleotide binding
acs	Escherichia coli	14	MF_013	GO:0032555~purine ribonucleotide binding
acs	Escherichia coli	14	MF_014	GO:0032559~adenyl ribonucleotide binding
actP	Escherichia coli	 8	MF_001	GO:0008028~monocarboxylic acid transmembrane transporter activity
actP	Escherichia coli	 8	MF_002	GO:0015123~acetate transmembrane transporter activity
actP	Escherichia coli	 8	MF_003	GO:0015293~symporter activity
actP	Escherichia coli	 8	MF_004	GO:0031402~sodium ion binding
actP	Escherichia coli	 8	MF_005	GO:0031420~alkali metal ion binding
actP	Escherichia coli	 8	MF_006	GO:0043167~ion binding
actP	Escherichia coli	 8	MF_007	GO:0043169~cation binding
actP	Escherichia coli	 8	MF_008	GO:0046872~metal ion binding
ada	Escherichia coli	11	MF_001	GO:0003677~DNA binding
ada	Escherichia coli	11	MF_002	GO:0003700~transcription factor activity
ada	Escherichia coli	11	MF_003	GO:0003908~methylated-DNA-[protein]-cysteine S-methyltransferase activity
ada	Escherichia coli	11	MF_004	GO:0008172~S-methyltransferase activity
ada	Escherichia coli	11	MF_005	GO:0008270~zinc ion binding
ada	Escherichia coli	11	MF_006	GO:0030528~transcription regulator activity
ada	Escherichia coli	11	MF_007	GO:0043167~ion binding
ada	Escherichia coli	11	MF_008	GO:0043169~cation binding
ada	Escherichia coli	11	MF_009	GO:0043565~sequence-specific DNA binding
ada	Escherichia coli	11	MF_010	GO:0046872~metal ion binding
ada	Escherichia coli	11	MF_011	GO:0046914~transition metal ion binding
add	Escherichia coli	 3	MF_001	GO:0004000~adenosine deaminase activity
add	Escherichia coli	 3	MF_002	GO:0016814~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
add	Escherichia coli	 3	MF_003	GO:0019239~deaminase activity
ade	Escherichia coli	 8	MF_001	GO:0000034~adenine deaminase activity
ade	Escherichia coli	 8	MF_002	GO:0016814~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
ade	Escherichia coli	 8	MF_003	GO:0019239~deaminase activity
ade	Escherichia coli	 8	MF_004	GO:0030145~manganese ion binding
ade	Escherichia coli	 8	MF_005	GO:0043167~ion binding
ade	Escherichia coli	 8	MF_006	GO:0043169~cation binding
ade	Escherichia coli	 8	MF_007	GO:0046872~metal ion binding
ade	Escherichia coli	 8	MF_008	GO:0046914~transition metal ion binding
adhE	Escherichia coli	 8	MF_001	GO:0004022~alcohol dehydrogenase (NAD) activity
adhE	Escherichia coli	 8	MF_002	GO:0005506~iron ion binding
adhE	Escherichia coli	 8	MF_003	GO:0008774~acetaldehyde dehydrogenase (acetylating) activity
adhE	Escherichia coli	 8	MF_004	GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
adhE	Escherichia coli	 8	MF_005	GO:0043167~ion binding
adhE	Escherichia coli	 8	MF_006	GO:0043169~cation binding
adhE	Escherichia coli	 8	MF_007	GO:0046872~metal ion binding
adhE	Escherichia coli	 8	MF_008	GO:0046914~transition metal ion binding
adhP	Escherichia coli	 6	MF_001	GO:0004022~alcohol dehydrogenase (NAD) activity
adhP	Escherichia coli	 6	MF_002	GO:0008270~zinc ion binding
adhP	Escherichia coli	 6	MF_003	GO:0043167~ion binding
adhP	Escherichia coli	 6	MF_004	GO:0043169~cation binding
adhP	Escherichia coli	 6	MF_005	GO:0046872~metal ion binding
adhP	Escherichia coli	 6	MF_006	GO:0046914~transition metal ion binding
adiA	Escherichia coli	 6	MF_001	GO:0008792~arginine decarboxylase activity
adiA	Escherichia coli	 6	MF_002	GO:0016831~carboxy-lyase activity
adiA	Escherichia coli	 6	MF_003	GO:0019842~vitamin binding
adiA	Escherichia coli	 6	MF_004	GO:0030170~pyridoxal phosphate binding
adiA	Escherichia coli	 6	MF_005	GO:0048037~cofactor binding
adiA	Escherichia coli	 6	MF_006	GO:0070279~vitamin B6 binding
adiY	Escherichia coli	 4	MF_001	GO:0003677~DNA binding
adiY	Escherichia coli	 4	MF_002	GO:0003700~transcription factor activity
adiY	Escherichia coli	 4	MF_003	GO:0030528~transcription regulator activity
adiY	Escherichia coli	 4	MF_004	GO:0043565~sequence-specific DNA binding
adk	Escherichia coli	13	MF_001	GO:0000166~nucleotide binding
adk	Escherichia coli	13	MF_002	GO:0001882~nucleoside binding
adk	Escherichia coli	13	MF_003	GO:0001883~purine nucleoside binding
adk	Escherichia coli	13	MF_004	GO:0004017~adenylate kinase activity
adk	Escherichia coli	13	MF_005	GO:0005524~ATP binding
adk	Escherichia coli	13	MF_006	GO:0016776~phosphotransferase activity, phosphate group as acceptor
adk	Escherichia coli	13	MF_007	GO:0017076~purine nucleotide binding
adk	Escherichia coli	13	MF_008	GO:0019201~nucleotide kinase activity
adk	Escherichia coli	13	MF_009	GO:0019205~nucleobase, nucleoside, nucleotide kinase activity
adk	Escherichia coli	13	MF_010	GO:0030554~adenyl nucleotide binding
adk	Escherichia coli	13	MF_011	GO:0032553~ribonucleotide binding
adk	Escherichia coli	13	MF_012	GO:0032555~purine ribonucleotide binding
adk	Escherichia coli	13	MF_013	GO:0032559~adenyl ribonucleotide binding
aegA	Escherichia coli	22	MF_001	GO:0000166~nucleotide binding
aegA	Escherichia coli	22	MF_002	GO:0001882~nucleoside binding
aegA	Escherichia coli	22	MF_003	GO:0001883~purine nucleoside binding
aegA	Escherichia coli	22	MF_004	GO:0004355~glutamate synthase (NADPH) activity
aegA	Escherichia coli	22	MF_005	GO:0005506~iron ion binding
aegA	Escherichia coli	22	MF_006	GO:0009055~electron carrier activity
aegA	Escherichia coli	22	MF_007	GO:0015930~glutamate synthase activity
aegA	Escherichia coli	22	MF_008	GO:0016638~oxidoreductase activity, acting on the CH-NH2 group of donors
aegA	Escherichia coli	22	MF_009	GO:0016639~oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
aegA	Escherichia coli	22	MF_010	GO:0017076~purine nucleotide binding
aegA	Escherichia coli	22	MF_011	GO:0030554~adenyl nucleotide binding
aegA	Escherichia coli	22	MF_012	GO:0043167~ion binding
aegA	Escherichia coli	22	MF_013	GO:0043169~cation binding
aegA	Escherichia coli	22	MF_014	GO:0045181~glutamate synthase activity, NADH or NADPH as acceptor
aegA	Escherichia coli	22	MF_015	GO:0046872~metal ion binding
aegA	Escherichia coli	22	MF_016	GO:0046914~transition metal ion binding
aegA	Escherichia coli	22	MF_017	GO:0048037~cofactor binding
aegA	Escherichia coli	22	MF_018	GO:0050660~FAD binding
aegA	Escherichia coli	22	MF_019	GO:0050662~coenzyme binding
aegA	Escherichia coli	22	MF_020	GO:0051536~iron-sulfur cluster binding
aegA	Escherichia coli	22	MF_021	GO:0051539~4 iron, 4 sulfur cluster binding
aegA	Escherichia coli	22	MF_022	GO:0051540~metal cluster binding
aer	Escherichia coli	 4	MF_001	GO:0004112~cyclic-nucleotide phosphodiesterase activity
aer	Escherichia coli	 4	MF_002	GO:0004114~3'
aer	Escherichia coli	 4	MF_003	5'-cyclic-nucleotide phosphodiesterase activity
aer	Escherichia coli	 4	MF_004	GO:0008081~phosphoric diester hydrolase activity
aes	Escherichia coli	 1	MF_001	GO:0004091~carboxylesterase activity
agaA	Escherichia coli	 3	MF_001	GO:0008448~N-acetylglucosamine-6-phosphate deacetylase activity
agaA	Escherichia coli	 3	MF_002	GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
agaA	Escherichia coli	 3	MF_003	GO:0019213~deacetylase activity
agaB	Escherichia coli	 1	MF_001	GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
agaC	Escherichia coli	 1	MF_001	GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
agaD	Escherichia coli	 1	MF_001	GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
agaI	Escherichia coli	 4	MF_001	GO:0004342~glucosamine-6-phosphate deaminase activity
agaI	Escherichia coli	 4	MF_002	GO:0016860~intramolecular oxidoreductase activity
agaI	Escherichia coli	 4	MF_003	GO:0016861~intramolecular oxidoreductase activity, interconverting aldoses and ketoses
agaI	Escherichia coli	 4	MF_004	GO:0019239~deaminase activity
agaR	Escherichia coli	 3	MF_001	GO:0003677~DNA binding
agaR	Escherichia coli	 3	MF_002	GO:0003700~transcription factor activity
agaR	Escherichia coli	 3	MF_003	GO:0030528~transcription regulator activity
agaS	Escherichia coli	 4	MF_001	GO:0005529~sugar binding
agaS	Escherichia coli	 4	MF_002	GO:0016860~intramolecular oxidoreductase activity
agaS	Escherichia coli	 4	MF_003	GO:0016861~intramolecular oxidoreductase activity, interconverting aldoses and ketoses
agaS	Escherichia coli	 4	MF_004	GO:0030246~carbohydrate binding
agaV	Escherichia coli	 1	MF_001	GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
agaZ	Escherichia coli	 1	MF_001	GO:0009024~tagatose-6-phosphate kinase activity
agp	Escherichia coli	 4	MF_001	GO:0003993~acid phosphatase activity
agp	Escherichia coli	 4	MF_002	GO:0008877~glucose-1-phosphatase activity
agp	Escherichia coli	 4	MF_003	GO:0016791~phosphatase activity
agp	Escherichia coli	 4	MF_004	GO:0019203~carbohydrate phosphatase activity
ahpC	Escherichia coli	 4	MF_001	GO:0004601~peroxidase activity
ahpC	Escherichia coli	 4	MF_002	GO:0016209~antioxidant activity
ahpC	Escherichia coli	 4	MF_003	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor
ahpC	Escherichia coli	 4	MF_004	GO:0051920~peroxiredoxin activity
ahpF	Escherichia coli	18	MF_001	GO:0000166~nucleotide binding
ahpF	Escherichia coli	18	MF_002	GO:0001882~nucleoside binding
ahpF	Escherichia coli	18	MF_003	GO:0001883~purine nucleoside binding
ahpF	Escherichia coli	18	MF_004	GO:0004601~peroxidase activity
ahpF	Escherichia coli	18	MF_005	GO:0009055~electron carrier activity
ahpF	Escherichia coli	18	MF_006	GO:0015035~protein disulfide oxidoreductase activity
ahpF	Escherichia coli	18	MF_007	GO:0015036~disulfide oxidoreductase activity
ahpF	Escherichia coli	18	MF_008	GO:0016209~antioxidant activity
ahpF	Escherichia coli	18	MF_009	GO:0016651~oxidoreductase activity, acting on NADH or NADPH
ahpF	Escherichia coli	18	MF_010	GO:0016667~oxidoreductase activity, acting on sulfur group of donors
ahpF	Escherichia coli	18	MF_011	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor
ahpF	Escherichia coli	18	MF_012	GO:0017076~purine nucleotide binding
ahpF	Escherichia coli	18	MF_013	GO:0030554~adenyl nucleotide binding
ahpF	Escherichia coli	18	MF_014	GO:0048037~cofactor binding
ahpF	Escherichia coli	18	MF_015	GO:0050660~FAD binding
ahpF	Escherichia coli	18	MF_016	GO:0050662~coenzyme binding
ahpF	Escherichia coli	18	MF_017	GO:0051287~NAD or NADH binding
ahpF	Escherichia coli	18	MF_018	GO:0051920~peroxiredoxin activity
aidB	Escherichia coli	 2	MF_001	GO:0003995~acyl-CoA dehydrogenase activity
aidB	Escherichia coli	 2	MF_002	GO:0009055~electron carrier activity
ais	Escherichia coli	 1	MF_001	GO:0016791~phosphatase activity
alaS	Escherichia coli	18	MF_001	GO:0000166~nucleotide binding
alaS	Escherichia coli	18	MF_002	GO:0001882~nucleoside binding
alaS	Escherichia coli	18	MF_003	GO:0001883~purine nucleoside binding
alaS	Escherichia coli	18	MF_004	GO:0004812~aminoacyl-tRNA ligase activity
alaS	Escherichia coli	18	MF_005	GO:0004813~alanine-tRNA ligase activity
alaS	Escherichia coli	18	MF_006	GO:0005524~ATP binding
alaS	Escherichia coli	18	MF_007	GO:0008270~zinc ion binding
alaS	Escherichia coli	18	MF_008	GO:0016875~ligase activity, forming carbon-oxygen bonds
alaS	Escherichia coli	18	MF_009	GO:0016876~ligase activity, forming aminoacyl-tRNA and related compounds
alaS	Escherichia coli	18	MF_010	GO:0017076~purine nucleotide binding
alaS	Escherichia coli	18	MF_011	GO:0030554~adenyl nucleotide binding
alaS	Escherichia coli	18	MF_012	GO:0032553~ribonucleotide binding
alaS	Escherichia coli	18	MF_013	GO:0032555~purine ribonucleotide binding
alaS	Escherichia coli	18	MF_014	GO:0032559~adenyl ribonucleotide binding
alaS	Escherichia coli	18	MF_015	GO:0043167~ion binding
alaS	Escherichia coli	18	MF_016	GO:0043169~cation binding
alaS	Escherichia coli	18	MF_017	GO:0046872~metal ion binding
alaS	Escherichia coli	18	MF_018	GO:0046914~transition metal ion binding
aldA	Escherichia coli	 3	MF_001	GO:0008911~lactaldehyde dehydrogenase activity
aldA	Escherichia coli	 3	MF_002	GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
aldA	Escherichia coli	 3	MF_003	GO:0050569~glycolaldehyde dehydrogenase activity
aldB	Escherichia coli	 6	MF_001	GO:0000287~magnesium ion binding
aldB	Escherichia coli	 6	MF_002	GO:0008911~lactaldehyde dehydrogenase activity
aldB	Escherichia coli	 6	MF_003	GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
aldB	Escherichia coli	 6	MF_004	GO:0043167~ion binding
aldB	Escherichia coli	 6	MF_005	GO:0043169~cation binding
aldB	Escherichia coli	 6	MF_006	GO:0046872~metal ion binding
