ID	Gene Name	Species	GOTERM_MF_FAT
ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0008685~2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity,GO:0016849~phosphorus-oxygen lyase activity,GO:0030145~manganese ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0016779~nucleotidyltransferase activity,GO:0030145~manganese ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0050518~2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,GO:0050897~cobalt ion binding,GO:0070567~cytidylyltransferase activity,
folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0003848~2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,GO:0005524~ATP binding,GO:0016778~diphosphotransferase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
kdsA	2-dehydro-3-deoxyphosphooctonate aldolase	Escherichia coli	GO:0008676~3-deoxy-8-phosphooctulonate synthase activity,GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups,GO:0042280~cell surface antigen activity, host-interacting,
apbA	2-dehydropantoate 2-reductase	Escherichia coli	GO:0000166~nucleotide binding,GO:0008677~2-dehydropantoate 2-reductase activity,GO:0048037~cofactor binding,GO:0050661~NADP or NADPH binding,GO:0050662~coenzyme binding,
kduD	2-deoxy-D-gluconate 3-dehydrogenase	Escherichia coli	GO:0000166~nucleotide binding,GO:0008678~2-deoxy-D-gluconate 3-dehydrogenase activity,GO:0047001~2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,GO:0051287~NAD or NADH binding,
glxR	2-hydroxy-3-oxopropionate reductase	Escherichia coli	GO:0004616~phosphogluconate dehydrogenase (decarboxylating) activity,GO:0008442~3-hydroxyisobutyrate dehydrogenase activity,GO:0008679~2-hydroxy-3-oxopropionate reductase activity,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,
mhpC	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	Escherichia coli	GO:0016822~hydrolase activity, acting on acid carbon-carbon bonds,GO:0016823~hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances,GO:0018771~2-hydroxy-6-ketonona-2,4-dienedoic acid hydrolase activity,
leuA	2-isopropylmalate synthase	Escherichia coli	GO:0003852~2-isopropylmalate synthase activity,GO:0046912~transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer,
yfaU	2-keto-3-deoxy-L-rhamnonate aldolase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0016151~nickel ion binding,GO:0016832~aldehyde-lyase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
mhpD	2-keto-4-pentenoate hydratase	Escherichia coli	GO:0008684~2-oxopent-4-enoate hydratase activity,GO:0016831~carboxy-lyase activity,GO:0016836~hydro-lyase activity,GO:0047437~4-oxalocrotonate decarboxylase activity,
prpD	2-methylcitrate dehydratase	Escherichia coli	GO:0005506~iron ion binding,GO:0016836~hydro-lyase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0047547~2-methylcitrate dehydratase activity,GO:0051536~iron-sulfur cluster binding,GO:0051537~2 iron, 2 sulfur cluster binding,GO:0051540~metal cluster binding,
prpC	2-methylcitrate synthase	Escherichia coli	GO:0004108~citrate (Si)-synthase activity,GO:0046912~transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer,GO:0050440~2-methylcitrate synthase activity,
ubiF	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0048037~cofactor binding,GO:0050660~FAD binding,GO:0050662~coenzyme binding,
ubiH	2-octaprenyl-6-methoxyphenol hydroxylase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0048037~cofactor binding,GO:0050660~FAD binding,GO:0050662~coenzyme binding,
sucA	2-oxoglutarate dehydrogenase E1 component	Escherichia coli	GO:0004591~oxoglutarate dehydrogenase (succinyl-transferring) activity,GO:0016624~oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor,GO:0019842~vitamin binding,GO:0030976~thiamin pyrophosphate binding,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,
menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0008683~2-oxoglutarate decarboxylase activity,GO:0016744~transferase activity, transferring aldehyde or ketonic groups,GO:0016831~carboxy-lyase activity,GO:0019842~vitamin binding,GO:0030145~manganese ion binding,GO:0030976~thiamin pyrophosphate binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,GO:0070204~2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity,
yfbB	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	Escherichia coli	GO:0003677~DNA binding,GO:0008170~N-methyltransferase activity,GO:0070205~2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity,
menE	2-succinylbenzoate--CoA ligase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0008756~o-succinylbenzoate-CoA ligase activity,GO:0016405~CoA-ligase activity,GO:0016877~ligase activity, forming carbon-sulfur bonds,GO:0016878~acid-thiol ligase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
rumA	23S rRNA (uracil-5-)-methyltransferase rumA	Escherichia coli	GO:0003723~RNA binding,GO:0004748~ribonucleoside-diphosphate reductase activity,GO:0005506~iron ion binding,GO:0008173~RNA methyltransferase activity,GO:0016725~oxidoreductase activity, acting on CH or CH2 groups,GO:0016728~oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,GO:0051540~metal cluster binding,
rumB	23S rRNA (uracil-5-)-methyltransferase rumB	Escherichia coli	GO:0005506~iron ion binding,GO:0008173~RNA methyltransferase activity,GO:0008649~rRNA methyltransferase activity,GO:0016436~rRNA (uridine) methyltransferase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,GO:0051540~metal cluster binding,
fdx	2Fe-2S ferredoxin	Escherichia coli	GO:0004016~adenylate cyclase activity,GO:0005506~iron ion binding,GO:0009055~electron carrier activity,GO:0009975~cyclase activity,GO:0016849~phosphorus-oxygen lyase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051537~2 iron, 2 sulfur cluster binding,GO:0051540~metal cluster binding,
ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0008686~3,4-dihydroxy-2-butanone-4-phosphate synthase activity,GO:0030145~manganese ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
aroD	3-dehydroquinate dehydratase	Escherichia coli	GO:0003855~3-dehydroquinate dehydratase activity,GO:0016836~hydro-lyase activity,
ubiG	3-demethylubiquinone-9 3-methyltransferase	Escherichia coli	GO:0008169~C-methyltransferase activity,GO:0008171~O-methyltransferase activity,GO:0008425~2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity,GO:0008689~3-demethylubiquinone-9 3-O-methyltransferase activity,GO:0030580~quinone cofactor methyltransferase activity,
kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0008690~3-deoxy-manno-octulosonate cytidylyltransferase activity,GO:0016779~nucleotidyltransferase activity,GO:0042280~cell surface antigen activity, host-interacting,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0070567~cytidylyltransferase activity,
fabA	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	Escherichia coli	GO:0008693~3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity,GO:0016836~hydro-lyase activity,GO:0019171~3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity,
leuC	3-isopropylmalate dehydratase large subunit	Escherichia coli	GO:0003861~3-isopropylmalate dehydratase activity,GO:0005506~iron ion binding,GO:0016836~hydro-lyase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,GO:0051540~metal cluster binding,
leuD	3-isopropylmalate dehydratase small subunit	Escherichia coli	GO:0003861~3-isopropylmalate dehydratase activity,GO:0016836~hydro-lyase activity,
leuB	3-isopropylmalate dehydrogenase	Escherichia coli	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0003862~3-isopropylmalate dehydrogenase activity,GO:0030145~manganese ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,GO:0051287~NAD or NADH binding,
fadI	3-ketoacyl-CoA thiolase	Escherichia coli	GO:0003988~acetyl-CoA C-acyltransferase activity,GO:0016408~C-acyltransferase activity,
sseA	3-mercaptopyruvate sulfurtransferase	Escherichia coli	GO:0004792~thiosulfate sulfurtransferase activity,GO:0016782~transferase activity, transferring sulfur-containing groups,GO:0016783~sulfurtransferase activity,GO:0016784~3-mercaptopyruvate sulfurtransferase activity,
panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0003864~3-methyl-2-oxobutanoate hydroxymethyltransferase activity,GO:0004372~glycine hydroxymethyltransferase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,
ubiX	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	Escherichia coli	GO:0016831~carboxy-lyase activity,
fabG	3-oxoacyl-[acyl-carrier-protein] reductase	Escherichia coli	GO:0000166~nucleotide binding,GO:0004312~fatty-acid synthase activity,GO:0004316~3-oxoacyl-[acyl-carrier-protein] reductase activity,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,GO:0051287~NAD or NADH binding,
fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1	Escherichia coli	GO:0004312~fatty-acid synthase activity,GO:0004315~3-oxoacyl-[acyl-carrier-protein] synthase activity,
fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2	Escherichia coli	GO:0004312~fatty-acid synthase activity,GO:0004315~3-oxoacyl-[acyl-carrier-protein] synthase activity,GO:0033817~beta-ketoacyl-acyl-carrier-protein synthase II activity,
fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	Escherichia coli	GO:0004312~fatty-acid synthase activity,GO:0004315~3-oxoacyl-[acyl-carrier-protein] synthase activity,GO:0033818~beta-ketoacyl-acyl-carrier-protein synthase III activity,
hcaB	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	Escherichia coli	GO:0016628~oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,GO:0018498~2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity,
hcaC	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit	Escherichia coli	GO:0005506~iron ion binding,GO:0008695~3-phenylpropionate dioxygenase activity,GO:0009055~electron carrier activity,GO:0016701~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,GO:0016708~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051537~2 iron, 2 sulfur cluster binding,GO:0051540~metal cluster binding,
hcaD	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0008695~3-phenylpropionate dioxygenase activity,GO:0008860~ferredoxin-NAD+ reductase activity,GO:0008937~ferredoxin reductase activity,GO:0009055~electron carrier activity,GO:0016708~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor,GO:0016730~oxidoreductase activity, acting on iron-sulfur proteins as donors,GO:0016731~oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0048037~cofactor binding,GO:0050660~FAD binding,GO:0050662~coenzyme binding,
hcaE	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha	Escherichia coli	GO:0005506~iron ion binding,GO:0008695~3-phenylpropionate dioxygenase activity,GO:0009055~electron carrier activity,GO:0016701~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,GO:0016708~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051537~2 iron, 2 sulfur cluster binding,GO:0051540~metal cluster binding,
hcaF	3-phenylpropionate/cinnamic acid dioxygenase subunit beta	Escherichia coli	GO:0008695~3-phenylpropionate dioxygenase activity,GO:0016701~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,GO:0016708~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor,
aroA	3-phosphoshikimate 1-carboxyvinyltransferase	Escherichia coli	GO:0003866~3-phosphoshikimate 1-carboxyvinyltransferase activity,GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups,
rpsA	30S ribosomal protein S1	Escherichia coli	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005198~structural molecule activity,GO:0016725~oxidoreductase activity, acting on CH or CH2 groups,GO:0016726~oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor,GO:0051745~4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,
rpsP	30S ribosomal protein S16	Escherichia coli	GO:0003735~structural constituent of ribosome,GO:0004518~nuclease activity,GO:0004519~endonuclease activity,GO:0005198~structural molecule activity,
rpsB	30S ribosomal protein S2	Escherichia coli	GO:0003735~structural constituent of ribosome,GO:0005198~structural molecule activity,
rpsT	30S ribosomal protein S20	Escherichia coli	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005198~structural molecule activity,GO:0019843~rRNA binding,
entD	4'-phosphopantetheinyl transferase entD	Escherichia coli	GO:0000287~magnesium ion binding,GO:0005506~iron ion binding,GO:0008897~holo-[acyl-carrier-protein] synthase activity,GO:0016780~phosphotransferase activity, for other substituted phosphate groups,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
gabT	4-aminobutyrate aminotransferase	Escherichia coli	GO:0003867~4-aminobutyrate transaminase activity,GO:0008483~transaminase activity,GO:0016769~transferase activity, transferring nitrogenous groups,GO:0019842~vitamin binding,GO:0030170~pyridoxal phosphate binding,GO:0047298~(S)-3-amino-2-methylpropionate transaminase activity,GO:0048037~cofactor binding,GO:0070279~vitamin B6 binding,
kduI	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	Escherichia coli	GO:0008697~4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity,GO:0016860~intramolecular oxidoreductase activity,GO:0016861~intramolecular oxidoreductase activity, interconverting aldoses and ketoses,
ipk	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0050515~4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity,
hpaI	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase	Escherichia coli	GO:0008672~2-dehydro-3-deoxyglucarate aldolase activity,GO:0016831~carboxy-lyase activity,GO:0016832~aldehyde-lyase activity,GO:0018802~2,4-dihydroxyhept-2-ene-1,7-dioate aldolase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,
ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	Escherichia coli	GO:0005506~iron ion binding,GO:0016725~oxidoreductase activity, acting on CH or CH2 groups,GO:0016728~oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046429~4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,GO:0051540~metal cluster binding,
ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	Escherichia coli	GO:0005506~iron ion binding,GO:0016725~oxidoreductase activity, acting on CH or CH2 groups,GO:0016726~oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051538~3 iron, 4 sulfur cluster binding,GO:0051540~metal cluster binding,GO:0051745~4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,
pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	Escherichia coli	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0008270~zinc ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0048037~cofactor binding,GO:0050570~4-hydroxythreonine-4-phosphate dehydrogenase activity,GO:0050662~coenzyme binding,GO:0050897~cobalt ion binding,GO:0051287~NAD or NADH binding,
pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	Escherichia coli	GO:0008782~adenosylhomocysteine nucleosidase activity,GO:0008930~methylthioadenosine nucleosidase activity,GO:0016799~hydrolase activity, hydrolyzing N-glycosyl compounds,
rplS	50S ribosomal protein L19	Escherichia coli	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005198~structural molecule activity,GO:0019843~rRNA binding,
rplT	50S ribosomal protein L20	Escherichia coli	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005198~structural molecule activity,GO:0019843~rRNA binding,
rplY	50S ribosomal protein L25	Escherichia coli	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005198~structural molecule activity,GO:0008097~5S rRNA binding,GO:0019843~rRNA binding,
rpmE2	50S ribosomal protein L31 type B 2; 50S ribosomal protein L31 type B 1; 50S ribosomal protein L31 type B; 50S ribosomal protein L31	Escherichia coli	GO:0003735~structural constituent of ribosome,GO:0005198~structural molecule activity,
rpmF	50S ribosomal protein L32	Escherichia coli	GO:0003735~structural constituent of ribosome,GO:0005198~structural molecule activity,
rpmI	50S ribosomal protein L35	Escherichia coli	GO:0003735~structural constituent of ribosome,GO:0005198~structural molecule activity,
ribH	6,7-dimethyl-8-ribityllumazine synthase	Escherichia coli	GO:0004746~riboflavin synthase activity,GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups,
ascB	6-phospho-beta-glucosidase ascB	Escherichia coli	GO:0008422~beta-glucosidase activity,GO:0008706~6-phospho-beta-glucosidase activity,GO:0015926~glucosidase activity,GO:0043167~ion binding,GO:0043169~cation binding,
bglA	6-phospho-beta-glucosidase bglA	Escherichia coli	GO:0008422~beta-glucosidase activity,GO:0008706~6-phospho-beta-glucosidase activity,GO:0015926~glucosidase activity,GO:0043167~ion binding,GO:0043169~cation binding,
