"","From","Gene.Name","row","Escherichia coli str. K-12 substr. MG1655"
"87","aphA","acid phosphatase/phosphotransferase, class B, non-specific(aphA)",1,948562
"88","appA","phosphoanhydride phosphorylase(appA)",1,946206
"89","appY","global transcriptional activator; DLP12 prophage(appY)",1,948797
"90","apt","adenine phosphoribosyltransferase(apt)",1,945113
"91","aqpZ","aquaporin Z(aqpZ)",1,945497
"92","araA","L-arabinose isomerase(araA)",1,947511
"93","araB","L-ribulokinase(araB)",1,946017
"94","araC","ara regulon transcriptional activator; autorepressor(araC)",1,944780
"95","araD","L-ribulose-5-phosphate 4-epimerase(araD)",1,945294
"96","araE","arabinose transporter(araE)",1,947341
"97","araF","L-arabinose ABC transporter periplasmic binding protein(araF)",1,946409
"98","araG","L-arabinose ABC transporter ATPase(araG)",1,946408
"99","araH","L-arabinose ABC transporter permease(araH)",1,948923
"100","araJ","L-arabinose-inducible putative transporter, MFS family(araJ)",1,949077
"101","arcA","response regulator in two-component regulatory system with ArcB or CpxA(arcA)",1,948874
"102","arcB","aerobic respiration control sensor histidine protein kinase, cognate to two-component response regulators ArcA and RssB(arcB)",1,947887
"103","argA","amino acid N-acetyltransferase and inactive acetylglutamate kinase(argA)",1,947289
"104","argB","acetylglutamate kinase(argB)",1,948464
"105","argC","N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding(argC)",1,948455
"106","argD","bifunctional acetylornithine aminotransferase and succinyldiaminopimelate aminotransferase(argD)",1,947864
"107","argE","acetylornithine deacetylase(argE)",1,948456
"108","argG","argininosuccinate synthetase(argG)",1,947590
"109","argH","argininosuccinate lyase(argH)",1,948463
"110","argI","ornithine carbamoyltransferase 1(argI)",1,948774
"111","argK","membrane ATPase/protein kinase(argK)",1,947412
"112","argR","l-arginine-responsive arginine metabolism regulon transcriptional regulator(argR)",1,947861
"113","argS","arginyl-tRNA synthetase(argS)",1,946452
"114","argT","lysine/arginine/ornithine transporter subunit(argT)",1,949030
"115","arnT","4-amino-4-deoxy-L-arabinose transferase(arnT)",1,947297
"116","aroA","5-enolpyruvylshikimate-3-phosphate synthetase(aroA)",1,945528
"117","aroB","3-dehydroquinate synthase(aroB)",1,947927
"118","aroC","chorismate synthase(aroC)",1,946814
"119","aroD","3-dehydroquinate dehydratase(aroD)",1,946210
"120","aroE","dehydroshikimate reductase, NAD(P)-binding(aroE)",1,947776
"121","aroF","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible(aroF)",1,947084
"122","aroG","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible(aroG)",1,945605
"123","aroH","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible(aroH)",1,946229
"124","aroK","shikimate kinase I(aroK)",1,2847759
"125","aroL","shikimate kinase II(aroL)",1,945031
"126","aroM","AroM family protein(aroM)",1,945045
"127","aroP","aromatic amino acid transporter(aroP)",1,946018
"128","arsB","arsenite/antimonite transporter(arsB)",1,948011
"129","arsC","arsenate reductase(arsC)",1,948018
"130","arsR","arsenical resistance operon transcriptional repressor; autorepressor(arsR)",1,948013
"131","artI","arginine transporter subunit(artI)",1,948988
"132","artJ","arginine ABC transporter periplasmic binding protein(artJ)",1,948981
"133","artM","arginine ABC transporter permease(artM)",1,949066
"134","artP","arginine ABC transporter ATPase(artP)",1,945489
"135","artQ","arginine ABC transporter permease(artQ)",1,949046
"136","ascB","cryptic 6-phospho-beta-glucosidase(ascB)",1,947460
"137","ascF","cellobiose/arbutin/salicin-specific PTS enzymes, IIB and IC components(ascF)",1,947154
"138","ascG","asc operon transcriptional repressor; prpBC operon repressor(ascG)",1,947305
"139","asd","aspartate-semialdehyde dehydrogenase, NAD(P)-binding(asd)",1,947939
"140","aslA","putative Ser-type periplasmic non-aryl sulfatase(aslA)",1,949015
"141","aslB","putative AslA-specific sulfatase-maturating enzyme(aslB)",1,949013
"142","asmA","suppressor of OmpF assembly mutants; putative outer membrane protein assembly factor; inner membrane-anchored periplasmic protein(asmA)",1,946582
"143","asnA","asparagine synthetase A(asnA)",1,948258
"144","asnB","asparagine synthetase B(asnB)",1,945281
"145","asnC","transcriptional activator of asnA; autorepressor(asnC)",1,948259
"146","aspA","aspartate ammonia-lyase(aspA)",1,948658
"147","aspC","aspartate aminotransferase, PLP-dependent(aspC)",1,945553
"148","aspS","aspartyl-tRNA synthetase(aspS)",1,946385
"149","asr","acid shock-inducible periplasmic protein(asr)",1,945103
"150","astA","arginine succinyltransferase(astA)",1,946261
"151","astB","succinylarginine dihydrolase(astB)",1,946259
"152","astC","succinylornithine transaminase, PLP-dependent(astC)",1,946255
"153","astD","succinylglutamic semialdehyde dehydrogenase(astD)",1,946260
"154","astE","succinylglutamate desuccinylase(astE)",1,946256
"155","atoA","acetyl-CoA:acetoacetyl-CoA transferase, beta subunit(atoA)",1,946719
"156","atoB","acetyl-CoA acetyltransferase(atoB)",1,946727
"157","atoC","fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein(atoC)",1,947444
"158","atoD","acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit(atoD)",1,947525
"159","atoE","short chain fatty acid transporter(atoE)",1,946721
"160","atoS","sensory histidine kinase in two-component regulatory system with AtoC(atoS)",1,949011
"161","atpA","F1 sector of membrane-bound ATP synthase, alpha subunit(atpA)",1,948242
"162","atpB","F0 sector of membrane-bound ATP synthase, subunit a(atpB)",1,948252
"163","atpC","F1 sector of membrane-bound ATP synthase, epsilon subunit(atpC)",1,948245
"164","atpD","F1 sector of membrane-bound ATP synthase, beta subunit(atpD)",1,948244
"165","atpE","F0 sector of membrane-bound ATP synthase, subunit c(atpE)",1,948253
"166","atpF","F0 sector of membrane-bound ATP synthase, subunit b(atpF)",1,948247
"167","atpG","F1 sector of membrane-bound ATP synthase, gamma subunit(atpG)",1,948243
"168","atpH","F1 sector of membrane-bound ATP synthase, delta subunit(atpH)",1,948254
"169","atpI","ATP synthase, membrane-bound accessory factor(atpI)",1,948251
"170","avtA","valine-pyruvate aminotransferase; transaminase C; alanine-valine transaminase(avtA)",1,948087
"171","baeR","response regulator in two-component regulatory system with BaeS(baeR)",1,946605
"172","baeS","sensory histidine kinase in two-component regulatory system with BaeR(baeS)",1,946611
"173","barA","hybrid sensory histidine kinase, in two-component regulatory system with UvrY(barA)",1,947255
"174","basR","response regulator in two-component regulatory system with BasS(basR)",1,948631
"175","basS","sensory histidine kinase in two-component regulatory system with BasR(basS)",1,948632
"176","bax","putative glucosaminidase(bax)",1,948089
"177","bcp","peroxiredoxin; thiol peroxidase, thioredoxin-dependent(bcp)",1,946949
"178","bcr","bicyclomycin/cysteine/sulfonamide efflux transporter(bcr)",1,944808
"179","bcsA","cellulose synthase, catalytic subunit(bcsA)",1,948053
"180","bcsC","cellulose synthase subunit(bcsC)",1,948047
"181","bcsZ","endo-1,4-D-glucanase(bcsZ)",1,948046
"182","bdm","biofilm-dependent modulation protein(bdm)",1,946041
"183","betA","choline dehydrogenase, a flavoprotein(betA)",1,945716
"184","betB","betaine aldehyde dehydrogenase, NAD-dependent(betB)",1,947376
"185","betI","choline-inducible betIBA-betT divergent operon transcriptional repressor(betI)",1,944981
"186","betT","choline transporter of high affinity(betT)",1,945079
"187","bfd","bacterioferritin-associated ferredoxin(bfd)",1,947836
"188","bfr","bacterioferritin, iron storage and detoxification protein(bfr)",1,947839
"189","bglA","6-phospho-beta-glucosidase A(bglA)",1,947378
"190","bglB","cryptic phospho-beta-glucosidase B(bglB)",1,948234
"191","bglF","fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component(bglF)",1,948236
"192","bglG","transcriptional antiterminator of the bgl operon(bglG)",1,948235
"193","bglJ","bgl operon transcriptional activator(bglJ)",1,948889
"194","bglX","beta-D-glucoside glucohydrolase, periplasmic(bglX)",1,946682
"195","bioA","7,8-diaminopelargonic acid synthase, PLP-dependent(bioA)",1,945376
"196","bioB","biotin synthase(bioB)",1,945370
"197","bioC","malonyl-ACP O-methyltransferase, SAM-dependent(bioC)",1,945388
"198","bioD","dethiobiotin synthetase(bioD)",1,945387
"199","bioF","8-amino-7-oxononanoate synthase(bioF)",1,945384
"200","bioH","pimeloyl-ACP methyl ester carboxylesterase(bioH)",1,947916
"201","birA","bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding(birA)",1,948469
"202","bisC","biotin sulfoxide reductase(bisC)",1,946915
"203","blc","outer membrane lipoprotein cell division and growth lipocalin(blc)",1,948670
"204","blr","beta-lactam resistance membrane protein; divisome-associated protein(blr)",1,2847682
"205","bolA","stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC(bolA)",1,947043
"206","brnQ","branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val(brnQ)",1,945042
"207","bssR","repressor of biofilm formation by indole transport regulation(bssR)",1,945466
"208","bssS","biofilm regulator(bssS)",1,946104
"209","btuB","vitamin B12/cobalamin outer membrane transporter(btuB)",1,948468
"210","btuC","vitamin B12 ABC transporter permease(btuC)",1,945877
"211","btuD","vitamin B12 ABC transporter ATPase(btuD)",1,945751
"212","btuE","glutathione peroxidase(btuE)",1,945915
"213","btuR","cob(I)yrinic acid a,c-diamide adenosyltransferase(btuR)",1,945839
"214","cadA","lysine decarboxylase, acid-inducible(cadA)",1,948643
"215","cadB","putative lysine/cadaverine transporter(cadB)",1,948654
"216","cadC","cadBA operon transcriptional activator(cadC)",1,948653
"217","caiA","crotonobetaine reductase subunit II, FAD-binding(caiA)",1,949064
"218","caiC","putative crotonobetaine/carnitine-CoA ligase(caiC)",1,944886
"219","caiD","carnitinyl-CoA dehydratase(caiD)",1,948995
"220","caiE","stimulator of CaiD and CaiB enzyme activities(caiE)",1,948999
"221","caiF","cai operon transcriptional activator(caiF)",1,944795
"222","caiT","putative transporter(caiT)",1,944765
"223","carA","carbamoyl phosphate synthetase small subunit, glutamine amidotransferase(carA)",1,949025
"224","carB","carbamoyl-phosphate synthase large subunit(carB)",1,944775
"225","cbl","ssuEADCB/tauABCD operon transcriptional activator(cbl)",1,946502
"226","cbpA","DnaK co-chaperone; curved DNA-binding protein(cbpA)",1,947572
"227","cca","fused tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase and phosphatase(cca)",1,947553
"228","ccmA","heme export ABC transporter ATPase(ccmA)",1,946714
"229","ccmB","heme export ABC transporter permease(ccmB)",1,946692
"230","ccmC","heme export ABC transporter permease; CcmE-interacting protein(ccmC)",1,946703
"231","ccmD","cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor(ccmD)",1,946709
"232","ccmE","periplasmic heme chaperone(ccmE)",1,946697
"233","ccmF","heme lyase, CcmF subunit(ccmF)",1,948783
"234","ccmH","heme lyase, CcmH subunit(ccmH)",1,946623
"235","cdaR","carbohydrate diacid regulon transcriptional regulator; autoregulator(cdaR)",1,944860
"236","cdd","cytidine/deoxycytidine deaminase(cdd)",1,946663
"237","cdh","CDP-diacylglycerol phosphotidylhydrolase(cdh)",1,948410
"238","cdsA","CDP-diglyceride synthase(cdsA)",1,944876
"239","cedA","cell division modulator(cedA)",1,946235
"240","cfa","cyclopropane fatty acyl phospholipid synthase, SAM-dependent(cfa)",1,944811
"241","chaA","calcium/sodium:proton antiporter(chaA)",1,945790
"242","chaB","cation transport regulator(chaB)",1,945792
"243","chaC","cation transport regulator(chaC)",1,945793
"244","cheA","fused chemotactic sensory histidine kinase in two-component regulatory system with CheB and CheY: sensory histidine kinase/signal sensing protein(cheA)",1,946401
"245","cheB","fused chemotaxis regulator: protein-glutamate methylesterase in two-component regulatory system with CheA(cheB)",1,946394
"246","cheR","chemotaxis regulator, protein-glutamate methyltransferase(cheR)",1,946396
"247","cheW","purine-binding chemotaxis protein(cheW)",1,946400
"248","cheY","chemotaxis regulator transmitting signal to flagellar motor component(cheY)",1,946393
"249","cheZ","chemotaxis regulator, protein phosphatase for CheY(cheZ)",1,946392
"250","chiA","periplasmic endochitinase(chiA)",1,947837
"251","cirA","colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter(cirA)",1,949042
"252","cirA","colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter(cirA)",2,949042
"253","citA","sensory histidine kinase in two-component regulatory system with CitB(citA)",1,945233
"254","citC","citrate lyase ligase; [citrate [pro-3S]-lyase] ligase(citC)",1,945231
"255","citD","citrate lyase, acyl carrier (gamma) subunit(citD)",1,945415
"256","citE","citrate lyase, citryl-ACP lyase (beta) subunit(citE)",1,945406
"257","citF","citrate lyase, citrate-ACP transferase (alpha) subunit(citF)",1,945230
"258","citG","2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase(citG)",1,946395
"259","citT","citrate/succinate antiporter; citrate carrier(citT)",1,949070
"260","citX","apo-citrate lyase phosphoribosyl-dephospho-CoA transferase(citX)",1,949084
"261","clpA","ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity(clpA)",1,945764
"262","clpB","protein disaggregation chaperone(clpB)",1,947077
"263","clpP","proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases(clpP)",1,945082
"264","clpS","regulatory protein for ClpA substrate specificity(clpS)",1,948443
"265","clpX","ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease(clpX)",1,945083
"266","cmk","cytidylate kinase(cmk)",1,945535
"267","cmtA","putative mannitol-specific PTS IIB and IIC components(cmtA)",1,945256
"268","cmtB","putative mannitol-specific enzyme IIA component of PTS(cmtB)",1,945125
"269","coaA","pantothenate kinase(coaA)",1,948479
"270","coaD","pantetheine-phosphate adenylyltransferase(coaD)",1,947386
"271","coaE","dephospho-CoA kinase(coaE)",1,949060
"272","cobB","deacetylase of acs and cheY, chemotaxis regulator(cobB)",1,945687
"273","cobS","cobalamin synthase(cobS)",1,946520
"274","cobT","nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase(cobT)",1,946517
"275","cobU","cobinamide kinase and cobinamide phosphate guanylyltransferase(cobU)",1,946519
"276","codA","cytosine/isoguanine deaminase(codA)",1,944996
"277","codB","cytosine transporter(codB)",1,944994
"278","cof","thiamine pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase(cof)",1,945089
"279","copA","copper transporter(copA)",1,946106
"280","corA","magnesium/nickel/cobalt transporter(corA)",1,948351
"281","cpdA","3',5' cAMP phosphodiesterase(cpdA)",1,947515
"282","cpdB","2':3'-cyclic-nucleotide 2'-phosphodiesterase(cpdB)",1,948729
"283","cpsB","mannose-1-phosphate guanyltransferase(cpsB)",1,946580
"284","cpsG","phosphomannomutase(cpsG)",1,946574
"285","cpxA","sensory histidine kinase in two-component regulatory system with CpxR(cpxA)",1,948405
"286","cpxP","inhibitor of the cpx response; periplasmic adaptor protein(cpxP)",1,2847688
"287","cpxR","response regulator in two-component regulatory system with CpxA(cpxR)",1,948404
"288","creA","putative periplasmic protein(creA)",1,948920
"289","creB","response regulator in two-component regulatory system with CreC(creB)",1,948922
"290","creC","sensory histidine kinase in two-component regulatory system with CreB or PhoB(creC)",1,948609
"291","crl","pseudo(crl)",1,945077
"292","crp","cAMP-activated global transcription factor, mediator of catabolite repression(crp)",1,947867
"293","crr","glucose-specific enzyme IIA component of PTS(crr)",1,946880
"294","csdA","cysteine sulfinate desulfinase(csdA)",1,947275
"295","csgA","curlin subunit, amyloid curli fibers, cryptic(csgA)",1,949055
"296","csgB","curlin nucleator protein, minor subunit in curli complex(csgB)",1,947391
"297","csgC","curli assembly protein(csgC)",1,945623
"298","csgD","csgBAC operon transcriptional regulator(csgD)",1,949119
"299","csgE","curlin secretion specificity factor(csgE)",1,945711
"300","csgF","curli nucleation outer membrane protein(csgF)",1,945622
"301","csgG","curli production assembly/transport outer membrane lipoprotein(csgG)",1,945619
"302","csiD","carbon starvation protein(csiD)",1,948076
"303","csiE","stationary phase inducible protein(csiE)",1,947009
"304","cspA","RNA chaperone and antiterminator, cold-inducible(cspA)",1,948070
"305","cspC","stress protein, member of the CspA-family(cspC)",1,946339
"306","cspD","inhibitor of DNA replication, cold shock protein homolog(cspD)",1,945669
"307","cspE","constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein(cspE)",1,947024
"308","cspG","cold shock protein homolog, cold-inducible(cspG)",1,945591
"309","cspH","stress protein, member of the CspA-family(cspH)",1,945590
"310","cspI","Qin prophage; cold shock protein(cspI)",1,946099
"311","csrA","pleiotropic regulatory protein for carbon source metabolism(csrA)",1,947176
"312","cueO","multicopper oxidase (laccase)(cueO)",1,947736
"313","cueR","copper-responsive regulon transcriptional regulator(cueR)",1,945332
"314","cusA","copper/silver efflux system, membrane component(cusA)",1,945191
"315","cusB","copper/silver efflux system, membrane fusion protein(cusB)",1,945189
"316","cusC","copper/silver efflux system, outer membrane component(cusC)",1,946288
"317","cusR","response regulator in two-component regulatory system with CusS(cusR)",1,945003
"318","cusS","copper-sensing histidine kinase in two-component regulatory system with CusR(cusS)",1,945978
"319","cutA","divalent-cation tolerance protein, copper sensitivity(cutA)",1,948660
"320","cutC","copper homeostasis protein(cutC)",1,2847756
"321","cvpA","colicin V production protein(cvpA)",1,945055
"322","cyaA","adenylate cyclase(cyaA)",1,947755
"323","cyaY","iron-dependent inhibitor of iron-sulfur cluster formation; frataxin; iron-binding and oxidizing protein(cyaY)",1,947754
"324","cybB","cytochrome b561(cybB)",1,947241
"325","cycA","D-alanine/D-serine/glycine transporter(cycA)",1,948725
"326","cydA","cytochrome d terminal oxidase, subunit I(cydA)",1,945341
"327","cydB","cytochrome d terminal oxidase, subunit II(cydB)",1,945347
"328","cydC","glutathione/cysteine ABC transporter export permease/ATPase(cydC)",1,945504
"329","cydD","glutathione/cysteine ABC transporter export permease/ATPase(cydD)",1,949052
"330","cynR","transcriptional activator of cyn operon; autorepressor(cynR)",1,945001
"331","cynS","cyanate aminohydrolase(cynS)",1,948998
"332","cynT","carbonic anhydrase(cynT)",1,946548
"333","cynX","putative cyanate transporter(cynX)",1,946770
"334","cyoA","cytochrome o ubiquinol oxidase subunit II(cyoA)",1,945080
"335","cyoB","cytochrome o ubiquinol oxidase subunit I(cyoB)",1,945615
"336","cyoC","cytochrome o ubiquinol oxidase subunit III(cyoC)",1,946897
"337","cyoD","cytochrome o ubiquinol oxidase subunit IV(cyoD)",1,944918
"338","cyoE","protoheme IX farnesyltransferase(cyoE)",1,945073
"339","cysA","sulfate/thiosulfate transporter subunit(cysA)",1,946889
"340","cysB","N-acetylserine-responsive cysteine regulon transcriptional activator; autorepressor(cysB)",1,945771
"341","cysC","adenosine 5'-phosphosulfate kinase(cysC)",1,947221
"342","cysD","sulfate adenylyltransferase, subunit 2(cysD)",1,947217
"343","cysE","serine acetyltransferase(cysE)",1,948126
"344","cysG","fused siroheme synthase 1,3-dimethyluroporphyriongen III dehydrogenase and siroheme ferrochelatase/uroporphyrinogen methyltransferase(cysG)",1,947880
"345","cysH","phosphoadenosine phosphosulfate reductase; PAPS reductase, thioredoxin dependent(cysH)",1,947230
"346","cysI","sulfite reductase, beta subunit, NAD(P)-binding, heme-binding(cysI)",1,947231
"347","cysJ","sulfite reductase, alpha subunit, flavoprotein(cysJ)",1,947239
"348","cysK","cysteine synthase A, O-acetylserine sulfhydrolase A subunit(cysK)",1,946877
"349","cysM","cysteine synthase B (O-acetylserine sulfhydrolase B)(cysM)",1,946888
"350","cysN","sulfate adenylyltransferase, subunit 1(cysN)",1,947219
"351","cysP","thiosulfate-binding protein(cysP)",1,946883
"352","cysQ","3'(2'),5'-bisphosphate nucleotidase(cysQ)",1,948728
"353","cysS","cysteinyl-tRNA synthetase(cysS)",1,946969
"354","cysU","sulfate/thiosulfate ABC transporter permease(cysU)",1,946882
"355","cysW","sulfate/thiosulfate ABC transporter permease(cysW)",1,2847743
"356","cysZ","sulfate transporter, sulfite inhibited(cysZ)",1,946875
"357","cytR","Anti-activator for CytR-CRP nucleoside utilization regulon(cytR)",1,948427
"358","dacA","D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)(dacA)",1,945222
"359","dacB","D-alanyl-D-alanine carboxypeptidase(dacB)",1,947693
"360","dacC","D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6a(dacC)",1,945455
"361","dacD","D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6b(dacD)",1,946518
"362","dadA","D-amino acid dehydrogenase(dadA)",1,945752
"363","dadX","alanine racemase, catabolic, PLP-binding(dadX)",1,945754
"364","dam","DNA adenine methyltransferase(dam)",1,947893
"365","damX","cell division protein that binds to the septal ring(damX)",1,947930
"366","dapA","dihydrodipicolinate synthase(dapA)",1,946952
"367","dapB","dihydrodipicolinate reductase(dapB)",1,944762
"368","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase(dapD)",1,944862
"369","dapE","N-succinyl-diaminopimelate deacylase(dapE)",1,948313
"370","dapF","diaminopimelate epimerase(dapF)",1,948364
"371","dbpA","ATP-dependent RNA helicase, specific for 23S rRNA(dbpA)",1,947153
"372","dcd","deoxycytidine triphosphate deaminase; dCTP deaminase(dcd)",1,946593
"373","dcp","dipeptidyl carboxypeptidase II(dcp)",1,946084
"374","dcrB","putative lipoprotein(dcrB)",1,947983
