"","From","To","Species","Gene.Name"
"89","caiA",7155911,"Escherichia coli UMN026","crotonobetainyl-CoA dehydrogenase(caiA)"
"90","rem",946109,"Escherichia coli str. K-12 substr. MG1655","Qin prophage; uncharacterized protein(rem)"
"91","rem",7154882,"Escherichia coli UMN026","hypothetical protein(rem)"
"92","rem",7158657,"Escherichia coli UMN026","hypothetical protein(rem)"
"93","caiC",944886,"Escherichia coli str. K-12 substr. MG1655","putative crotonobetaine/carnitine-CoA ligase(caiC)"
"94","caiC",12874270,"Escherichia coli O83:H1 str. NRG 857C","putative crotonobetaine/carnitine-CoA ligase(caiC)"
"95","caiC",13703518,"Escherichia coli O104:H4 str. 2011C-3493","putative crotonobetaine/carnitine-CoA ligase(caiC)"
"96","caiC",7150897,"Escherichia coli IAI39","putative crotonobetaine/carnitine-CoA ligase(caiC)"
"97","caiC",913437,"Escherichia coli O157:H7 str. Sakai","crotonobetaine/carnitine-CoA ligase(caiC)"
"98","caiC",7155913,"Escherichia coli UMN026","putative crotonobetaine/carnitine-CoA ligase(caiC)"
"99","caiD",7150898,"Escherichia coli IAI39","carnitinyl-CoA dehydratase(caiD)"
"100","caiD",948995,"Escherichia coli str. K-12 substr. MG1655","carnitinyl-CoA dehydratase(caiD)"
"101","caiD",7155914,"Escherichia coli UMN026","carnitinyl-CoA dehydratase(caiD)"
"102","caiE",7155915,"Escherichia coli UMN026","carnitine operon protein CaiE(caiE)"
"103","caiE",948999,"Escherichia coli str. K-12 substr. MG1655","stimulator of CaiD and CaiB enzyme activities(caiE)"
"104","caiE",7150899,"Escherichia coli IAI39","carnitine operon protein CaiE(caiE)"
"105","caiF",7154608,"Escherichia coli UMN026","DNA-binding transcriptional activator CaiF(caiF)"
"106","caiF",7150903,"Escherichia coli IAI39","DNA-binding transcriptional activator CaiF(caiF)"
"107","caiF",944795,"Escherichia coli str. K-12 substr. MG1655","cai operon transcriptional activator(caiF)"
"108","essQ",946093,"Escherichia coli str. K-12 substr. MG1655","Qin prophage; putative S lysis protein(essQ)"
"109","essQ",7151013,"Escherichia coli IAI39","putative S lysis protein; Qin prophage(essQ)"
"110","essQ",7158654,"Escherichia coli UMN026","putative S lysis protein; Qin prophage(essQ)"
"111","vacJ",7158921,"Escherichia coli UMN026","putative lipoprotein(vacJ)"
"112","vacJ",7153853,"Escherichia coli IAI39","putative lipoprotein(vacJ)"
"113","gdhA",7153003,"Escherichia coli IAI39","glutamate dehydrogenase(gdhA)"
"114","gdhA",946802,"Escherichia coli str. K-12 substr. MG1655","glutamate dehydrogenase, NADP-specific(gdhA)"
"115","gdhA",10076150,"Escherichia coli","glutamate dehydrogenase(gdha)"
"116","gdhA",7157321,"Escherichia coli UMN026","glutamate dehydrogenase(gdhA)"
"117","topA",945862,"Escherichia coli str. K-12 substr. MG1655","DNA topoisomerase I, omega subunit(topA)"
"118","topA",7154971,"Escherichia coli UMN026","DNA topoisomerase I(topA)"
"119","topA",7153493,"Escherichia coli IAI39","DNA topoisomerase I(topA)"
"120","topB",7152828,"Escherichia coli IAI39","DNA topoisomerase III(topB)"
"121","topB",5962007,"Escherichia coli","similar to YdgA from R721(topB)"
"122","topB",946141,"Escherichia coli str. K-12 substr. MG1655","DNA topoisomerase III(topB)"
"123","topB",13906044,"Escherichia coli","TopB topoisomerase III(topB)"
"124","topB",13905667,"Escherichia coli","DNA topoisomerase III protein TopB(topB)"
"125","topB",20466930,"Escherichia coli","DNA topoisomerase III(topB)"
"126","topB",13905812,"Escherichia coli","DNA topoisomerase III protein TopB(topB)"
"127","topB",7872513,"Escherichia coli","TopB(topB)"
"128","topB",7872637,"Escherichia coli","TopB(topB)"
"129","topB",17035780,"Escherichia coli","DNA topoisomerase III protein TopB(topB)"
"130","topB",7156526,"Escherichia coli UMN026","DNA topoisomerase III(topB)"
"131","topB",13876793,"Escherichia coli","DNA topoisomerase III(topB)"
"132","topB",13900836,"Escherichia coli","DNA topoisomerase III(topB)"
"133","topB",20466982,"Escherichia coli","DNA topoisomerase III(topB)"
"134","topB",13903579,"Escherichia coli","TopB topoisomerase III(topB)"
"135","sbmC",7149677,"Escherichia coli IAI39","DNA gyrase inhibitor(sbmC)"
"136","sbmC",7158803,"Escherichia coli UMN026","DNA gyrase inhibitor(sbmC)"
"137","sbmC",946546,"Escherichia coli str. K-12 substr. MG1655","DNA gyrase inhibitor(sbmC)"
"138","malI",7156648,"Escherichia coli UMN026","DNA-binding transcriptional repressor MalI(malI)"
"139","malI",947104,"Escherichia coli str. K-12 substr. MG1655","transcriptional repressor of Mal regulon(malI)"
"140","malI",7152005,"Escherichia coli IAI39","DNA-binding transcriptional repressor MalI(malI)"
"141","sbmA",946884,"Escherichia coli str. K-12 substr. MG1655","peptide antibiotic transporter(sbmA)"
"142","sbmA",7153269,"Escherichia coli IAI39","transport protein(sbmA)"
"143","sbmA",7154673,"Escherichia coli UMN026","transport protein(sbmA)"
"144","fhuD",947510,"Escherichia coli str. K-12 substr. MG1655","iron(3+)-hydroxamate import ABC transporter periplasmic binding protein(fhuD)"
"145","fhuD",7156346,"Escherichia coli UMN026","iron-hydroxamate transporter substrate-binding subunit(fhuD)"
"146","fhuD",7151316,"Escherichia coli IAI39","iron-hydroxamate transporter substrate-binding subunit(fhuD)"
"147","fhuC",7156344,"Escherichia coli UMN026","iron-hydroxamate transporter ATP-binding subunit(fhuC)"
"148","fhuC",945250,"Escherichia coli str. K-12 substr. MG1655","iron(3+)-hydroxamate import ABC transporter ATPase(fhuC)"
"149","fhuC",7151314,"Escherichia coli IAI39","iron-hydroxamate transporter ATP-binding subunit(fhuC)"
"150","fhuE",7151318,"Escherichia coli IAI39","pseudo(fhuE)"
"151","fhuE",7157566,"Escherichia coli UMN026","ferric-rhodotorulic acid outer membrane transporter(fhuE)"
"152","fhuE",7151644,"Escherichia coli IAI39","pseudo(fhuE)"
"153","fhuE",945649,"Escherichia coli str. K-12 substr. MG1655","ferric-rhodotorulic acid outer membrane transporter(fhuE)"
"154","ndh",946792,"Escherichia coli str. K-12 substr. MG1655","respiratory NADH dehydrogenase 2/cupric reductase(ndh)"
"155","ndh",7153451,"Escherichia coli IAI39","respiratory NADH dehydrogenase 2/cupric reductase(ndh)"
"156","ndh",7158539,"Escherichia coli UMN026","respiratory NADH dehydrogenase 2/cupric reductase(ndh)"
"157","bssR",7154376,"Escherichia coli IAI39","biofilm formation regulatory protein BssR(bssR)"
"158","bssR",13701570,"Escherichia coli O104:H4 str. 2011C-3493","biofilm formation regulatory protein BssR(bssR)"
"159","bssR",945466,"Escherichia coli str. K-12 substr. MG1655","repressor of biofilm formation by indole transport regulation(bssR)"
"160","bssR",12877243,"Escherichia coli O83:H1 str. NRG 857C","biofilm formation regulatory protein BssR(bssR)"
"161","bssR",917658,"Escherichia coli O157:H7 str. Sakai","biofilm formation regulatory protein BssR(bssR)"
"162","bssR",7159469,"Escherichia coli UMN026","biofilm formation regulatory protein BssR(bssR)"
"163","bssS",13701106,"Escherichia coli O104:H4 str. 2011C-3493","biofilm formation regulatory protein BssS(bssS)"
"164","bssS",7157952,"Escherichia coli UMN026","biofilm formation regulatory protein BssS(bssS)"
"165","bssS",7151141,"Escherichia coli IAI39","biofilm formation regulatory protein BssS(bssS)"
"166","bssS",912354,"Escherichia coli O157:H7 str. Sakai","biofilm formation regulatory protein BssS(bssS)"
"167","bssS",12877831,"Escherichia coli O83:H1 str. NRG 857C","biofilm formation regulatory protein BssS(bssS)"
"168","bssS",946104,"Escherichia coli str. K-12 substr. MG1655","biofilm regulator(bssS)"
"169","pdhR",7150786,"Escherichia coli IAI39","transcriptional regulator PdhR(pdhR)"
"170","pdhR",7155794,"Escherichia coli UMN026","transcriptional regulator PdhR(pdhR)"
"171","pdhR",944827,"Escherichia coli str. K-12 substr. MG1655","pyruvate dehydrogenase complex repressor; autorepressor(pdhR)"
"172","pdhR",12874350,"Escherichia coli O83:H1 str. NRG 857C","transcriptional regulator PdhR(pdhR)"
"173","pdhR",913643,"Escherichia coli O157:H7 str. Sakai","transcriptional regulator PdhR(pdhR)"
"174","pdhR",13703446,"Escherichia coli O104:H4 str. 2011C-3493","transcriptional regulator PdhR(pdhR)"
"175","fhuA",944856,"Escherichia coli str. K-12 substr. MG1655","ferrichrome outer membrane transporter(fhuA)"
"176","fhuA",7152123,"Escherichia coli IAI39","ferrichrome outer membrane transporter(fhuA)"
"177","fhuA",7157176,"Escherichia coli UMN026","ferrichrome outer membrane transporter(fhuA)"
"178","fhuB",946890,"Escherichia coli str. K-12 substr. MG1655","iron(3+)-hydroxamate import ABC transporter permease(fhuB)"
"179","fhuB",7156347,"Escherichia coli UMN026","iron-hydroxamate permease(fhuB)"
"180","fhuB",7151317,"Escherichia coli IAI39","iron-hydroxamate transporter permease subunit(fhuB)"
"181","pheT",912837,"Escherichia coli O157:H7 str. Sakai","phenylalanyl-tRNA synthetase subunit beta(pheT)"
"182","pheT",945382,"Escherichia coli str. K-12 substr. MG1655","phenylalanine tRNA synthetase, beta subunit(pheT)"
"183","pheT",12875340,"Escherichia coli O83:H1 str. NRG 857C","phenylalanyl-tRNA synthetase subunit beta(pheT)"
"184","pheT",13701509,"Escherichia coli O104:H4 str. 2011C-3493","phenylalanyl-tRNA synthetase subunit beta(pheT)"
"185","pheT",7156794,"Escherichia coli UMN026","phenylalanyl-tRNA synthetase subunit beta(pheT)"
"186","pheT",7152392,"Escherichia coli IAI39","phenylalanyl-tRNA synthetase subunit beta(pheT)"
"187","torR",7153005,"Escherichia coli IAI39","DNA-binding transcriptional regulator TorR(torR)"
"188","torR",7158094,"Escherichia coli UMN026","DNA-binding transcriptional regulator TorR(torR)"
"189","torR",946182,"Escherichia coli str. K-12 substr. MG1655","response regulator in two-component regulatory system with TorS(torR)"
"190","pheS",7157438,"Escherichia coli UMN026","phenylalanyl-tRNA synthetase subunit alpha(pheS)"
"191","pheS",946223,"Escherichia coli str. K-12 substr. MG1655","phenylalanine tRNA synthetase, alpha subunit(pheS)"
"192","pheS",12875341,"Escherichia coli O83:H1 str. NRG 857C","phenylalanyl-tRNA synthetase subunit alpha(pheS)"
"193","pheS",13701508,"Escherichia coli O104:H4 str. 2011C-3493","phenylalanyl-tRNA synthetase subunit alpha(pheS)"
"194","pheS",916567,"Escherichia coli O157:H7 str. Sakai","phenylalanyl-tRNA synthetase subunit alpha(pheS)"
"195","pheS",7152390,"Escherichia coli IAI39","phenylalanyl-tRNA synthetase subunit alpha(pheS)"
"196","pheP",7156050,"Escherichia coli UMN026","phenylalanine transporter(pheP)"
"197","pheP",7151028,"Escherichia coli IAI39","phenylalanine transporter(pheP)"
"198","pheP",945199,"Escherichia coli str. K-12 substr. MG1655","phenylalanine transporter(pheP)"
"199","torT",7153007,"Escherichia coli IAI39","TMAO reductase system periplasmic protein TorT(torT)"
"200","torT",7158093,"Escherichia coli UMN026","TMAO reductase system periplasmic protein TorT(torT)"
"201","torT",946289,"Escherichia coli str. K-12 substr. MG1655","periplasmic sensory protein associated with the TorRS two-component regulatory system(torT)"
"202","torS",945595,"Escherichia coli str. K-12 substr. MG1655","hybrid sensory histidine kinase in two-component regulatory system with TorR(torS)"
"203","torS",7153009,"Escherichia coli IAI39","hybrid sensory histidine kinase TorS(torS)"
"204","torS",7158512,"Escherichia coli UMN026","hybrid sensory histidine kinase TorS(torS)"
"205","nac",7155921,"Escherichia coli UMN026","nitrogen assimilation transcriptional regulator(nac)"
"206","nac",7150623,"Escherichia coli IAI39","nitrogen assimilation transcriptional regulator(nac)"
"207","nac",946501,"Escherichia coli str. K-12 substr. MG1655","nitrogen assimilation regulon transcriptional regulator; autorepressor(nac)"
"208","mnmA",7156664,"Escherichia coli UMN026","tRNA -specific 2-thiouridylase MnmA(mnmA)"
"209","mnmA",913286,"Escherichia coli O157:H7 str. Sakai","tRNA-specific 2-thiouridylase MnmA(mnmA)"
"210","mnmA",13701033,"Escherichia coli O104:H4 str. 2011C-3493","tRNA-specific 2-thiouridylase MnmA(mnmA)"
"211","mnmA",7154385,"Escherichia coli IAI39","tRNA-specific 2-thiouridylase MnmA(mnmA)"
"212","mnmA",12877904,"Escherichia coli O83:H1 str. NRG 857C","tRNA-specific 2-thiouridylase MnmA(mnmA)"
"213","mnmA",945690,"Escherichia coli str. K-12 substr. MG1655","tRNA(Gln,Lys,Glu) U34 2-thiouridylase(mnmA)"
"214","torA",7153006,"Escherichia coli IAI39","trimethylamine N-oxide (TMAO) reductase I, catalytic subunit(torA)"
"215","torA",946267,"Escherichia coli str. K-12 substr. MG1655","trimethylamine N-oxide (TMAO) reductase I, catalytic subunit(torA)"
"216","torA",7158090,"Escherichia coli UMN026","trimethylamine N-oxide (TMAO) reductase I, catalytic subunit(torA)"
"217","dinG",13701608,"Escherichia coli O104:H4 str. 2011C-3493","ATP-dependent DNA helicase DinG(dinG)"
"218","dinG",917619,"Escherichia coli O157:H7 str. Sakai","ATP-dependent DNA helicase DinG(dinG)"
"219","dinG",12877206,"Escherichia coli O83:H1 str. NRG 857C","ATP-dependent DNA helicase DinG(dinG)"
"220","dinG",7149642,"Escherichia coli IAI39","ATP-dependent DNA helicase DinG(dinG)"
"221","dinG",7158451,"Escherichia coli UMN026","ATP-dependent DNA helicase DinG(dinG)"
"222","dinG",945431,"Escherichia coli str. K-12 substr. MG1655","ATP-dependent DNA helicase(dinG)"
"223","mnmC",7151264,"Escherichia coli IAI39","5-methylaminomethyl-2-thiouridine methyltransferase(mnmC)"
"224","mnmC",12878691,"Escherichia coli O83:H1 str. NRG 857C","5-methylaminomethyl-2-thiouridine methyltransferase(mnmC)"
"225","mnmC",946800,"Escherichia coli str. K-12 substr. MG1655","fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme(mnmC)"
"226","mnmC",913957,"Escherichia coli O157:H7 str. Sakai","5-methylaminomethyl-2-thiouridine methyltransferase(mnmC)"
"227","mnmC",13703036,"Escherichia coli O104:H4 str. 2011C-3493","bifunctional tRNA (mnm(5)s(2)U34)-methyltransferase/FAD-dependent cmnm(5)s(2)U34 oxidoreductase(mnmC)"
"228","mnmC",7156294,"Escherichia coli UMN026","5-methylaminomethyl-2-thiouridine methyltransferase(mnmC)"
"229","dinB",7157065,"Escherichia coli UMN026","DNA polymerase IV(dinB)"
"230","dinB",7153232,"Escherichia coli IAI39","DNA polymerase IV(dinB)"
"231","dinB",944922,"Escherichia coli str. K-12 substr. MG1655","DNA polymerase IV(dinB)"
"232","torC",946252,"Escherichia coli str. K-12 substr. MG1655","trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit(torC)"
"233","torC",7153004,"Escherichia coli IAI39","trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit(torC)"
"234","torC",7158092,"Escherichia coli UMN026","trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit(torC)"
"235","torD",7150906,"Escherichia coli IAI39","chaperone protein TorD(torD)"
"236","torD",912584,"Escherichia coli O157:H7 str. Sakai","chaperone protein TorD(torD)"
"237","torD",12877698,"Escherichia coli O83:H1 str. NRG 857C","chaperone protein TorD(torD)"
"238","torD",945625,"Escherichia coli str. K-12 substr. MG1655","TorA-maturation chaperone(torD)"
"239","torD",13701325,"Escherichia coli O104:H4 str. 2011C-3493","chaperone protein TorD(torD)"
"240","torD",7158089,"Escherichia coli UMN026","chaperone protein TorD(torD)"
"241","rbn",12876066,"Escherichia coli O83:H1 str. NRG 857C","ribonuclease BN(rbn)"
"242","rbn",915086,"Escherichia coli O157:H7 str. Sakai","ribonuclease BN(rbn)"
"243","rbn",946760,"Escherichia coli str. K-12 substr. MG1655","RNase BN, tRNA processing enzyme(rbn)"
"244","rbn",7159307,"Escherichia coli UMN026","ribonuclease BN(rbn)"
"245","rbn",7151185,"Escherichia coli IAI39","ribonuclease BN(rbn)"
"246","nohB",7153554,"Escherichia coli IAI39","DNA packaging protein; DLP12 prophage(nohB)"
"247","nohB",7159529,"Escherichia coli UMN026","DNA packaging protein; DLP12 prophage(nohB)"
"248","nohB",7154706,"Escherichia coli UMN026","DNA packaging protein; DLP12 prophage(nohB)"
"249","dinJ",7153230,"Escherichia coli IAI39","antitoxin of YafQ-DinJ toxin-antitoxin system(dinJ)"
"250","dinJ",944914,"Escherichia coli str. K-12 substr. MG1655","antitoxin of YafQ-DinJ toxin-antitoxin system(dinJ)"
"251","dinI",7155893,"Escherichia coli UMN026","DNA damage-inducible protein I(dinI)"
"252","dinI",7152549,"Escherichia coli IAI39","DNA damage-inducible protein I(dinI)"
"253","dinI",945022,"Escherichia coli str. K-12 substr. MG1655","DNA damage-inducible protein I(dinI)"
"254","torY",7158096,"Escherichia coli UMN026","TMAO reductase III (TorYZ), cytochrome c-type subunit(torY)"
"255","torY",946490,"Escherichia coli str. K-12 substr. MG1655","TMAO reductase III (TorYZ), cytochrome c-type subunit(torY)"
"256","torY",7151035,"Escherichia coli IAI39","TMAO reductase III (TorYZ), cytochrome c-type subunit(torY)"
"257","torZ",946389,"Escherichia coli str. K-12 substr. MG1655","trimethylamine N-oxide reductase system III, catalytic subunit(torZ)"
"258","torZ",7158783,"Escherichia coli UMN026","trimethylamine N-oxide reductase system III, catalytic subunit(torZ)"
"259","torZ",7153010,"Escherichia coli IAI39","trimethylamine N-oxide reductase system III, catalytic subunit(torZ)"
"260","murE",944791,"Escherichia coli str. K-12 substr. MG1655","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase(murE)"
"261","murE",7156460,"Escherichia coli UMN026","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase(murE)"
"262","murE",12874318,"Escherichia coli O83:H1 str. NRG 857C","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase(murE)"
"263","murE",7151437,"Escherichia coli IAI39","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase(murE)"
"264","murE",13703472,"Escherichia coli O104:H4 str. 2011C-3493","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase(murE)"
"265","murE",913536,"Escherichia coli O157:H7 str. Sakai","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase(murE)"
"266","murD",944818,"Escherichia coli str. K-12 substr. MG1655","UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase(murD)"
"267","murD",7157173,"Escherichia coli UMN026","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase(murD)"
"268","murD",913546,"Escherichia coli O157:H7 str. Sakai","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase(murD)"
"269","murD",12874321,"Escherichia coli O83:H1 str. NRG 857C","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase(murD)"
"270","murD",7152120,"Escherichia coli IAI39","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase(murD)"
"271","murD",13703469,"Escherichia coli O104:H4 str. 2011C-3493","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase(murD)"
"272","cydD",949052,"Escherichia coli str. K-12 substr. MG1655","glutathione/cysteine ABC transporter export permease/ATPase(cydD)"
