"","From","Gene.Name","row","Escherichia coli str. K-12 substr. MG1655"
"89","ansP","L-asparagine transporter(ansP)",1,946019
"90","apaG","protein associated with Co2+ and Mg2+ efflux(apaG)",1,944772
"91","apaH","diadenosine tetraphosphatase(apaH)",1,944770
"92","aphA","acid phosphatase/phosphotransferase, class B, non-specific(aphA)",1,948562
"93","appA","phosphoanhydride phosphorylase(appA)",1,946206
"94","appY","global transcriptional activator; DLP12 prophage(appY)",1,948797
"95","apt","adenine phosphoribosyltransferase(apt)",1,945113
"96","aqpZ","aquaporin Z(aqpZ)",1,945497
"97","araA","L-arabinose isomerase(araA)",1,947511
"98","araB","L-ribulokinase(araB)",1,946017
"99","araC","ara regulon transcriptional activator; autorepressor(araC)",1,944780
"100","araD","L-ribulose-5-phosphate 4-epimerase(araD)",1,945294
"101","araE","arabinose transporter(araE)",1,947341
"102","araF","L-arabinose ABC transporter periplasmic binding protein(araF)",1,946409
"103","araG","L-arabinose ABC transporter ATPase(araG)",1,946408
"104","araH","L-arabinose ABC transporter permease(araH)",1,948923
"105","araJ","L-arabinose-inducible putative transporter, MFS family(araJ)",1,949077
"106","arcA","response regulator in two-component regulatory system with ArcB or CpxA(arcA)",1,948874
"107","arcB","aerobic respiration control sensor histidine protein kinase, cognate to two-component response regulators ArcA and RssB(arcB)",1,947887
"108","arcZ","ncRNA(arcZ)",1,2847690
"109","argA","amino acid N-acetyltransferase and inactive acetylglutamate kinase(argA)",1,947289
"110","argB","acetylglutamate kinase(argB)",1,948464
"111","argC","N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding(argC)",1,948455
"112","argD","bifunctional acetylornithine aminotransferase and succinyldiaminopimelate aminotransferase(argD)",1,947864
"113","argE","acetylornithine deacetylase(argE)",1,948456
"114","argG","argininosuccinate synthetase(argG)",1,947590
"115","argH","argininosuccinate lyase(argH)",1,948463
"116","argI","ornithine carbamoyltransferase 1(argI)",1,948774
"117","argK","membrane ATPase/protein kinase(argK)",1,947412
"118","argQ","tRNA(argQ)",1,947150
"119","argR","l-arginine-responsive arginine metabolism regulon transcriptional regulator(argR)",1,947861
"120","argS","arginyl-tRNA synthetase(argS)",1,946452
"121","argT","lysine/arginine/ornithine transporter subunit(argT)",1,949030
"122","argU","tRNA(argU)",1,945161
"123","argV","tRNA(argV)",1,947209
"124","argW","tRNA(argW)",1,945486
"125","argX","tRNA(argX)",1,945107
"126","argY","tRNA(argY)",1,946596
"127","argZ","tRNA(argZ)",1,947171
"128","arnT","4-amino-4-deoxy-L-arabinose transferase(arnT)",1,947297
"129","aroA","5-enolpyruvylshikimate-3-phosphate synthetase(aroA)",1,945528
"130","aroB","3-dehydroquinate synthase(aroB)",1,947927
"131","aroC","chorismate synthase(aroC)",1,946814
"132","aroD","3-dehydroquinate dehydratase(aroD)",1,946210
"133","aroE","dehydroshikimate reductase, NAD(P)-binding(aroE)",1,947776
"134","aroF","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible(aroF)",1,947084
"135","aroG","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible(aroG)",1,945605
"136","aroH","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible(aroH)",1,946229
"137","aroK","shikimate kinase I(aroK)",1,2847759
"138","aroL","shikimate kinase II(aroL)",1,945031
"139","aroM","AroM family protein(aroM)",1,945045
"140","aroP","aromatic amino acid transporter(aroP)",1,946018
"141","arpA","ankyrin repeat protein(arpA)",1,944933
"142","arpB","pseudo(arpB)",1,948935
"143","arsB","arsenite/antimonite transporter(arsB)",1,948011
"144","arsC","arsenate reductase(arsC)",1,948018
"145","arsR","arsenical resistance operon transcriptional repressor; autorepressor(arsR)",1,948013
"146","artI","arginine transporter subunit(artI)",1,948988
"147","artJ","arginine ABC transporter periplasmic binding protein(artJ)",1,948981
"148","artM","arginine ABC transporter permease(artM)",1,949066
"149","artP","arginine ABC transporter ATPase(artP)",1,945489
"150","artQ","arginine ABC transporter permease(artQ)",1,949046
"151","ascB","cryptic 6-phospho-beta-glucosidase(ascB)",1,947460
"152","ascF","cellobiose/arbutin/salicin-specific PTS enzymes, IIB and IC components(ascF)",1,947154
"153","ascG","asc operon transcriptional repressor; prpBC operon repressor(ascG)",1,947305
"154","asd","aspartate-semialdehyde dehydrogenase, NAD(P)-binding(asd)",1,947939
"155","aslA","putative Ser-type periplasmic non-aryl sulfatase(aslA)",1,949015
"156","aslB","putative AslA-specific sulfatase-maturating enzyme(aslB)",1,949013
"157","asmA","suppressor of OmpF assembly mutants; putative outer membrane protein assembly factor; inner membrane-anchored periplasmic protein(asmA)",1,946582
"158","asnA","asparagine synthetase A(asnA)",1,948258
"159","asnB","asparagine synthetase B(asnB)",1,945281
"160","asnC","transcriptional activator of asnA; autorepressor(asnC)",1,948259
"161","asnS","asparaginyl tRNA synthetase(asnS)",1,945555
"162","asnT","tRNA(asnT)",1,946488
"163","asnU","tRNA(asnU)",1,946503
"164","asnV","tRNA(asnV)",1,946509
"165","asnW","tRNA(asnW)",1,946494
"166","aspA","aspartate ammonia-lyase(aspA)",1,948658
"167","aspC","aspartate aminotransferase, PLP-dependent(aspC)",1,945553
"168","aspS","aspartyl-tRNA synthetase(aspS)",1,946385
"169","aspT","tRNA(aspT)",1,948276
"170","aspU","tRNA(aspU)",1,944880
"171","aspV","tRNA(aspV)",1,947541
"172","asr","acid shock-inducible periplasmic protein(asr)",1,945103
"173","astA","arginine succinyltransferase(astA)",1,946261
"174","astB","succinylarginine dihydrolase(astB)",1,946259
"175","astC","succinylornithine transaminase, PLP-dependent(astC)",1,946255
"176","astD","succinylglutamic semialdehyde dehydrogenase(astD)",1,946260
"177","astE","succinylglutamate desuccinylase(astE)",1,946256
"178","atoA","acetyl-CoA:acetoacetyl-CoA transferase, beta subunit(atoA)",1,946719
"179","atoB","acetyl-CoA acetyltransferase(atoB)",1,946727
"180","atoC","fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein(atoC)",1,947444
"181","atoD","acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit(atoD)",1,947525
"182","atoE","short chain fatty acid transporter(atoE)",1,946721
"183","atoS","sensory histidine kinase in two-component regulatory system with AtoC(atoS)",1,949011
"184","atpA","F1 sector of membrane-bound ATP synthase, alpha subunit(atpA)",1,948242
"185","atpB","F0 sector of membrane-bound ATP synthase, subunit a(atpB)",1,948252
"186","atpC","F1 sector of membrane-bound ATP synthase, epsilon subunit(atpC)",1,948245
"187","atpD","F1 sector of membrane-bound ATP synthase, beta subunit(atpD)",1,948244
"188","atpE","F0 sector of membrane-bound ATP synthase, subunit c(atpE)",1,948253
"189","atpF","F0 sector of membrane-bound ATP synthase, subunit b(atpF)",1,948247
"190","atpG","F1 sector of membrane-bound ATP synthase, gamma subunit(atpG)",1,948243
"191","atpH","F1 sector of membrane-bound ATP synthase, delta subunit(atpH)",1,948254
"192","atpI","ATP synthase, membrane-bound accessory factor(atpI)",1,948251
"193","avtA","valine-pyruvate aminotransferase; transaminase C; alanine-valine transaminase(avtA)",1,948087
"194","baeR","response regulator in two-component regulatory system with BaeS(baeR)",1,946605
"195","baeS","sensory histidine kinase in two-component regulatory system with BaeR(baeS)",1,946611
"196","barA","hybrid sensory histidine kinase, in two-component regulatory system with UvrY(barA)",1,947255
"197","basR","response regulator in two-component regulatory system with BasS(basR)",1,948631
"198","basS","sensory histidine kinase in two-component regulatory system with BasR(basS)",1,948632
"199","bax","putative glucosaminidase(bax)",1,948089
"200","bcp","peroxiredoxin; thiol peroxidase, thioredoxin-dependent(bcp)",1,946949
"201","bcr","bicyclomycin/cysteine/sulfonamide efflux transporter(bcr)",1,944808
"202","bcsC","cellulose synthase subunit(bcsC)",1,948047
"203","bcsZ","endo-1,4-D-glucanase(bcsZ)",1,948046
"204","bdm","biofilm-dependent modulation protein(bdm)",1,946041
"205","betA","choline dehydrogenase, a flavoprotein(betA)",1,945716
"206","betB","betaine aldehyde dehydrogenase, NAD-dependent(betB)",1,947376
"207","betI","choline-inducible betIBA-betT divergent operon transcriptional repressor(betI)",1,944981
"208","betT","choline transporter of high affinity(betT)",1,945079
"209","bfd","bacterioferritin-associated ferredoxin(bfd)",1,947836
"210","bfr","bacterioferritin, iron storage and detoxification protein(bfr)",1,947839
"211","bglA","6-phospho-beta-glucosidase A(bglA)",1,947378
"212","bglB","cryptic phospho-beta-glucosidase B(bglB)",1,948234
"213","bglF","fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component(bglF)",1,948236
"214","bglG","transcriptional antiterminator of the bgl operon(bglG)",1,948235
"215","bglJ","bgl operon transcriptional activator(bglJ)",1,948889
"216","bglX","beta-D-glucoside glucohydrolase, periplasmic(bglX)",1,946682
"217","bioA","7,8-diaminopelargonic acid synthase, PLP-dependent(bioA)",1,945376
"218","bioB","biotin synthase(bioB)",1,945370
"219","bioC","malonyl-ACP O-methyltransferase, SAM-dependent(bioC)",1,945388
"220","bioD","dethiobiotin synthetase(bioD)",1,945387
"221","bioF","8-amino-7-oxononanoate synthase(bioF)",1,945384
"222","bioH","pimeloyl-ACP methyl ester carboxylesterase(bioH)",1,947916
"223","birA","bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding(birA)",1,948469
"224","bisC","biotin sulfoxide reductase(bisC)",1,946915
"225","blc","outer membrane lipoprotein cell division and growth lipocalin(blc)",1,948670
"226","blr","beta-lactam resistance membrane protein; divisome-associated protein(blr)",1,2847682
"227","bolA","stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC(bolA)",1,947043
"228","brnQ","branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val(brnQ)",1,945042
"229","btuB","vitamin B12/cobalamin outer membrane transporter(btuB)",1,948468
"230","btuC","vitamin B12 ABC transporter permease(btuC)",1,945877
"231","btuD","vitamin B12 ABC transporter ATPase(btuD)",1,945751
"232","btuE","glutathione peroxidase(btuE)",1,945915
"233","btuR","cob(I)yrinic acid a,c-diamide adenosyltransferase(btuR)",1,945839
"234","cadA","lysine decarboxylase, acid-inducible(cadA)",1,948643
"235","cadB","putative lysine/cadaverine transporter(cadB)",1,948654
"236","cadC","cadBA operon transcriptional activator(cadC)",1,948653
"237","caiA","crotonobetaine reductase subunit II, FAD-binding(caiA)",1,949064
"238","caiB","crotonobetainyl CoA:carnitine CoA transferase(caiB)",1,948997
"239","caiC","putative crotonobetaine/carnitine-CoA ligase(caiC)",1,944886
"240","caiD","carnitinyl-CoA dehydratase(caiD)",1,948995
"241","caiE","stimulator of CaiD and CaiB enzyme activities(caiE)",1,948999
"242","caiF","cai operon transcriptional activator(caiF)",1,944795
"243","caiT","putative transporter(caiT)",1,944765
"244","carA","carbamoyl phosphate synthetase small subunit, glutamine amidotransferase(carA)",1,949025
"245","carB","carbamoyl-phosphate synthase large subunit(carB)",1,944775
"246","cbl","ssuEADCB/tauABCD operon transcriptional activator(cbl)",1,946502
"247","cbpA","DnaK co-chaperone; curved DNA-binding protein(cbpA)",1,947572
"248","cca","fused tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase and phosphatase(cca)",1,947553
"249","ccmA","heme export ABC transporter ATPase(ccmA)",1,946714
"250","ccmB","heme export ABC transporter permease(ccmB)",1,946692
"251","ccmC","heme export ABC transporter permease; CcmE-interacting protein(ccmC)",1,946703
"252","ccmD","cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor(ccmD)",1,946709
"253","ccmE","periplasmic heme chaperone(ccmE)",1,946697
"254","ccmF","heme lyase, CcmF subunit(ccmF)",1,948783
"255","ccmH","heme lyase, CcmH subunit(ccmH)",1,946623
"256","cdaR","carbohydrate diacid regulon transcriptional regulator; autoregulator(cdaR)",1,944860
"257","cdd","cytidine/deoxycytidine deaminase(cdd)",1,946663
"258","cdh","CDP-diacylglycerol phosphotidylhydrolase(cdh)",1,948410
"259","cdsA","CDP-diglyceride synthase(cdsA)",1,944876
"260","cedA","cell division modulator(cedA)",1,946235
"261","cfa","cyclopropane fatty acyl phospholipid synthase, SAM-dependent(cfa)",1,944811
"262","chaA","calcium/sodium:proton antiporter(chaA)",1,945790
"263","chaB","cation transport regulator(chaB)",1,945792
"264","chaC","cation transport regulator(chaC)",1,945793
"265","cheA","fused chemotactic sensory histidine kinase in two-component regulatory system with CheB and CheY: sensory histidine kinase/signal sensing protein(cheA)",1,946401
"266","cheB","fused chemotaxis regulator: protein-glutamate methylesterase in two-component regulatory system with CheA(cheB)",1,946394
"267","cheR","chemotaxis regulator, protein-glutamate methyltransferase(cheR)",1,946396
"268","cheW","purine-binding chemotaxis protein(cheW)",1,946400
"269","cheY","chemotaxis regulator transmitting signal to flagellar motor component(cheY)",1,946393
"270","cheZ","chemotaxis regulator, protein phosphatase for CheY(cheZ)",1,946392
"271","chiA","periplasmic endochitinase(chiA)",1,947837
"272","cirA","colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter(cirA)",1,949042
"273","citA","sensory histidine kinase in two-component regulatory system with CitB(citA)",1,945233
"274","citB","response regulator in two-component regulatory system with CitA(citB)",1,947008
"275","citC","citrate lyase ligase; [citrate [pro-3S]-lyase] ligase(citC)",1,945231
"276","citD","citrate lyase, acyl carrier (gamma) subunit(citD)",1,945415
"277","citE","citrate lyase, citryl-ACP lyase (beta) subunit(citE)",1,945406
"278","citF","citrate lyase, citrate-ACP transferase (alpha) subunit(citF)",1,945230
"279","citG","2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase(citG)",1,946395
"280","citT","citrate/succinate antiporter; citrate carrier(citT)",1,949070
"281","citX","apo-citrate lyase phosphoribosyl-dephospho-CoA transferase(citX)",1,949084
"282","clpA","ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity(clpA)",1,945764
"283","clpB","protein disaggregation chaperone(clpB)",1,947077
"284","clpP","proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases(clpP)",1,945082
"285","clpS","regulatory protein for ClpA substrate specificity(clpS)",1,948443
"286","clpX","ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease(clpX)",1,945083
"287","cmk","cytidylate kinase(cmk)",1,945535
"288","cmtA","putative mannitol-specific PTS IIB and IIC components(cmtA)",1,945256
"289","cmtB","putative mannitol-specific enzyme IIA component of PTS(cmtB)",1,945125
"290","coaA","pantothenate kinase(coaA)",1,948479
"291","coaD","pantetheine-phosphate adenylyltransferase(coaD)",1,947386
"292","coaE","dephospho-CoA kinase(coaE)",1,949060
"293","cobB","deacetylase of acs and cheY, chemotaxis regulator(cobB)",1,945687
"294","cobS","cobalamin synthase(cobS)",1,946520
"295","cobT","nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase(cobT)",1,946517
"296","cobU","cobinamide kinase and cobinamide phosphate guanylyltransferase(cobU)",1,946519
"297","codA","cytosine/isoguanine deaminase(codA)",1,944996
"298","codB","cytosine transporter(codB)",1,944994
"299","cof","thiamine pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase(cof)",1,945089
"300","copA","copper transporter(copA)",1,946106
"301","corA","magnesium/nickel/cobalt transporter(corA)",1,948351
"302","cpdA","3',5' cAMP phosphodiesterase(cpdA)",1,947515
"303","cpdB","2':3'-cyclic-nucleotide 2'-phosphodiesterase(cpdB)",1,948729
"304","cpsB","mannose-1-phosphate guanyltransferase(cpsB)",1,946580
"305","cpsG","phosphomannomutase(cpsG)",1,946574
"306","cpxA","sensory histidine kinase in two-component regulatory system with CpxR(cpxA)",1,948405
"307","cpxP","inhibitor of the cpx response; periplasmic adaptor protein(cpxP)",1,2847688
"308","cpxR","response regulator in two-component regulatory system with CpxA(cpxR)",1,948404
"309","creA","putative periplasmic protein(creA)",1,948920
"310","creB","response regulator in two-component regulatory system with CreC(creB)",1,948922
"311","creC","sensory histidine kinase in two-component regulatory system with CreB or PhoB(creC)",1,948609
"312","creD","inner membrane protein(creD)",1,948868
"313","crl","pseudo(crl)",1,945077
"314","crp","cAMP-activated global transcription factor, mediator of catabolite repression(crp)",1,947867
"315","crr","glucose-specific enzyme IIA component of PTS(crr)",1,946880
"316","csdA","cysteine sulfinate desulfinase(csdA)",1,947275
"317","csgA","curlin subunit, amyloid curli fibers, cryptic(csgA)",1,949055
"318","csgB","curlin nucleator protein, minor subunit in curli complex(csgB)",1,947391
"319","csgC","curli assembly protein(csgC)",1,945623
"320","csgD","csgBAC operon transcriptional regulator(csgD)",1,949119
"321","csgE","curlin secretion specificity factor(csgE)",1,945711
"322","csgF","curli nucleation outer membrane protein(csgF)",1,945622
"323","csgG","curli production assembly/transport outer membrane lipoprotein(csgG)",1,945619
"324","csiD","carbon starvation protein(csiD)",1,948076
"325","csiE","stationary phase inducible protein(csiE)",1,947009
"326","cspA","RNA chaperone and antiterminator, cold-inducible(cspA)",1,948070
"327","cspC","stress protein, member of the CspA-family(cspC)",1,946339
"328","cspD","inhibitor of DNA replication, cold shock protein homolog(cspD)",1,945669
"329","cspE","constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein(cspE)",1,947024
"330","cspG","cold shock protein homolog, cold-inducible(cspG)",1,945591
"331","cspH","stress protein, member of the CspA-family(cspH)",1,945590
"332","cspI","Qin prophage; cold shock protein(cspI)",1,946099
"333","csrA","pleiotropic regulatory protein for carbon source metabolism(csrA)",1,947176
"334","csrB","ncRNA(csrB)",1,2847719
"335","csrC","ncRNA(csrC)",1,2847776
"336","cstA","carbon starvation protein involved in peptide utilization; APC peptide transporter family protein(cstA)",1,945213
"337","cueO","multicopper oxidase (laccase)(cueO)",1,947736
"338","cueR","copper-responsive regulon transcriptional regulator(cueR)",1,945332
"339","cusA","copper/silver efflux system, membrane component(cusA)",1,945191
"340","cusB","copper/silver efflux system, membrane fusion protein(cusB)",1,945189
"341","cusC","copper/silver efflux system, outer membrane component(cusC)",1,946288
"342","cusR","response regulator in two-component regulatory system with CusS(cusR)",1,945003
"343","cusS","copper-sensing histidine kinase in two-component regulatory system with CusR(cusS)",1,945978
"344","cutA","divalent-cation tolerance protein, copper sensitivity(cutA)",1,948660
"345","cutC","copper homeostasis protein(cutC)",1,2847756
"346","cvpA","colicin V production protein(cvpA)",1,945055
"347","cyaA","adenylate cyclase(cyaA)",1,947755
"348","cyaR","ncRNA(cyaR)",1,2847769
"349","cyaY","iron-dependent inhibitor of iron-sulfur cluster formation; frataxin; iron-binding and oxidizing protein(cyaY)",1,947754
"350","cybB","cytochrome b561(cybB)",1,947241
"351","cybC","pseudo(cybC)",1,948758
"352","cycA","D-alanine/D-serine/glycine transporter(cycA)",1,948725
"353","cydA","cytochrome d terminal oxidase, subunit I(cydA)",1,945341
"354","cydB","cytochrome d terminal oxidase, subunit II(cydB)",1,945347
"355","cydC","glutathione/cysteine ABC transporter export permease/ATPase(cydC)",1,945504
"356","cydD","glutathione/cysteine ABC transporter export permease/ATPase(cydD)",1,949052
"357","cynR","transcriptional activator of cyn operon; autorepressor(cynR)",1,945001
"358","cynS","cyanate aminohydrolase(cynS)",1,948998
"359","cynT","carbonic anhydrase(cynT)",1,946548
"360","cynX","putative cyanate transporter(cynX)",1,946770
"361","cyoA","cytochrome o ubiquinol oxidase subunit II(cyoA)",1,945080
"362","cyoB","cytochrome o ubiquinol oxidase subunit I(cyoB)",1,945615
"363","cyoC","cytochrome o ubiquinol oxidase subunit III(cyoC)",1,946897
"364","cyoD","cytochrome o ubiquinol oxidase subunit IV(cyoD)",1,944918
"365","cyoE","protoheme IX farnesyltransferase(cyoE)",1,945073
"366","cysA","sulfate/thiosulfate transporter subunit(cysA)",1,946889
"367","cysB","N-acetylserine-responsive cysteine regulon transcriptional activator; autorepressor(cysB)",1,945771
"368","cysC","adenosine 5'-phosphosulfate kinase(cysC)",1,947221
"369","cysD","sulfate adenylyltransferase, subunit 2(cysD)",1,947217
"370","cysE","serine acetyltransferase(cysE)",1,948126
"371","cysG","fused siroheme synthase 1,3-dimethyluroporphyriongen III dehydrogenase and siroheme ferrochelatase/uroporphyrinogen methyltransferase(cysG)",1,947880
"372","cysH","phosphoadenosine phosphosulfate reductase; PAPS reductase, thioredoxin dependent(cysH)",1,947230
"373","cysI","sulfite reductase, beta subunit, NAD(P)-binding, heme-binding(cysI)",1,947231
"374","cysJ","sulfite reductase, alpha subunit, flavoprotein(cysJ)",1,947239
"375","cysK","cysteine synthase A, O-acetylserine sulfhydrolase A subunit(cysK)",1,946877
"376","cysM","cysteine synthase B (O-acetylserine sulfhydrolase B)(cysM)",1,946888
"377","cysN","sulfate adenylyltransferase, subunit 1(cysN)",1,947219
"378","cysP","thiosulfate-binding protein(cysP)",1,946883
"379","cysQ","3'(2'),5'-bisphosphate nucleotidase(cysQ)",1,948728
"380","cysS","cysteinyl-tRNA synthetase(cysS)",1,946969
"381","cysT","tRNA(cysT)",1,946414
"382","cysU","sulfate/thiosulfate ABC transporter permease(cysU)",1,946882
"383","cysW","sulfate/thiosulfate ABC transporter permease(cysW)",1,2847743
"384","cysZ","sulfate transporter, sulfite inhibited(cysZ)",1,946875
"385","cytR","Anti-activator for CytR-CRP nucleoside utilization regulon(cytR)",1,948427
