"","From","To","Species","Gene.Name"
"66","cydC",945504,"Escherichia coli str. K-12 substr. MG1655","glutathione/cysteine ABC transporter export permease/ATPase(cydC)"
"67","murC",946153,"Escherichia coli str. K-12 substr. MG1655","UDP-N-acetylmuramate:L-alanine ligase(murC)"
"68","rstB",948870,"Escherichia coli str. K-12 substr. MG1655","sensory histidine kinase of RstAB two-component system(rstB)"
"69","rstA",946199,"Escherichia coli str. K-12 substr. MG1655","response regulator of RstAB two-component system(rstA)"
"70","cydB",945347,"Escherichia coli str. K-12 substr. MG1655","cytochrome d terminal oxidase, subunit II(cydB)"
"71","cydA",945341,"Escherichia coli str. K-12 substr. MG1655","cytochrome d terminal oxidase, subunit I(cydA)"
"72","murG",946321,"Escherichia coli str. K-12 substr. MG1655","N-acetylglucosaminyl transferase(murG)"
"73","murF",944813,"Escherichia coli str. K-12 substr. MG1655","UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase(murF)"
"74","nfrA",944741,"Escherichia coli str. K-12 substr. MG1655","bacteriophage N4 receptor, outer membrane subunit(nfrA)"
"75","nfsA",945483,"Escherichia coli str. K-12 substr. MG1655","nitroreductase A, NADPH-dependent, FMN-dependent(nfsA)"
"76","rof",944891,"Escherichia coli str. K-12 substr. MG1655","modulator of Rho-dependent transcription termination(rof)"
"77","helD",946227,"Escherichia coli str. K-12 substr. MG1655","DNA helicase IV(helD)"
"78","cybB",947241,"Escherichia coli str. K-12 substr. MG1655","cytochrome b561(cybB)"
"79","rnt",946159,"Escherichia coli str. K-12 substr. MG1655","RNase T; exoribonuclease T; structured DNA 3' exonuclease; RNA processing; DNA repair(rnt)"
"80","asnB",945281,"Escherichia coli str. K-12 substr. MG1655","asparagine synthetase B(asnB)"
"81","asnT",946488,"Escherichia coli str. K-12 substr. MG1655","tRNA(asnT)"
"82","dmsA",945508,"Escherichia coli str. K-12 substr. MG1655","dimethyl sulfoxide reductase, anaerobic, subunit A(dmsA)"
"83","asnU",946503,"Escherichia coli str. K-12 substr. MG1655","tRNA(asnU)"
"84","asnV",946509,"Escherichia coli str. K-12 substr. MG1655","tRNA(asnV)"
"85","asnW",946494,"Escherichia coli str. K-12 substr. MG1655","tRNA(asnW)"
"86","rnb",945864,"Escherichia coli str. K-12 substr. MG1655","ribonuclease II(rnb)"
"87","rna",949065,"Escherichia coli str. K-12 substr. MG1655","ribonuclease I(rna)"
"88","rne",945641,"Escherichia coli str. K-12 substr. MG1655","endoribonuclease; RNA-binding protein;RNA degradosome binding protein(rne)"
"89","rnd",946328,"Escherichia coli str. K-12 substr. MG1655","ribonuclease D(rnd)"
"90","rnk",947546,"Escherichia coli str. K-12 substr. MG1655","regulator of nucleoside diphosphate kinase(rnk)"
"91","dmsB",945507,"Escherichia coli str. K-12 substr. MG1655","dimethyl sulfoxide reductase, anaerobic, subunit B(dmsB)"
"92","asnS",945555,"Escherichia coli str. K-12 substr. MG1655","asparaginyl tRNA synthetase(asnS)"
"93","dmsC",945502,"Escherichia coli str. K-12 substr. MG1655","dimethyl sulfoxide reductase, anaerobic, subunit C(dmsC)"
"94","hemA",945777,"Escherichia coli str. K-12 substr. MG1655","glutamyl tRNA reductase(hemA)"
"95","hemB",945017,"Escherichia coli str. K-12 substr. MG1655","5-aminolevulinate dehydratase (porphobilinogen synthase)(hemB)"
"96","hemL",946892,"Escherichia coli str. K-12 substr. MG1655","glutamate-1-semialdehyde aminotransferase (aminomutase)(hemL)"
"97","lpxD",944882,"Escherichia coli str. K-12 substr. MG1655","UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase(lpxD)"
"98","hemH",947532,"Escherichia coli str. K-12 substr. MG1655","ferrochelatase(hemH)"
"99","lpxK",945526,"Escherichia coli str. K-12 substr. MG1655","lipid A 4'kinase(lpxK)"
"100","lpxA",944849,"Escherichia coli str. K-12 substr. MG1655","UDP-N-acetylglucosamine acetyltransferase(lpxA)"
"101","gltA",945323,"Escherichia coli str. K-12 substr. MG1655","citrate synthase(gltA)"
"102","lpxC",944816,"Escherichia coli str. K-12 substr. MG1655","UDP-3-O-acyl N-acetylglucosamine deacetylase(lpxC)"
"103","lpxB",944838,"Escherichia coli str. K-12 substr. MG1655","tetraacyldisaccharide-1-P synthase(lpxB)"
"104","rmf",945567,"Escherichia coli str. K-12 substr. MG1655","ribosome modulation factor(rmf)"
"105","hrpA",948444,"Escherichia coli str. K-12 substr. MG1655","putative ATP-dependent helicase(hrpA)"
"106","gltK",947354,"Escherichia coli str. K-12 substr. MG1655","glutamate/aspartate ABC transporter permease(gltK)"
"107","gltL",945254,"Escherichia coli str. K-12 substr. MG1655","glutamate/aspartate ABC transporter ATPase(gltL)"
"108","gltI",946938,"Escherichia coli str. K-12 substr. MG1655","glutamate/aspartate periplasmic binding protein(gltI)"
"109","hrpB",944845,"Escherichia coli str. K-12 substr. MG1655","putative ATP-dependent helicase(hrpB)"
"110","gltJ",945443,"Escherichia coli str. K-12 substr. MG1655","glutamate/aspartate ABC transporter permease(gltJ)"
"111","metN",944896,"Escherichia coli str. K-12 substr. MG1655","DL-methionine transporter subunit(metN)"
"112","aspC",945553,"Escherichia coli str. K-12 substr. MG1655","aspartate aminotransferase, PLP-dependent(aspC)"
"113","ynbE",945946,"Escherichia coli str. K-12 substr. MG1655","lipoprotein(ynbE)"
"114","metQ",944893,"Escherichia coli str. K-12 substr. MG1655","DL-methionine transporter subunit(metQ)"
"115","metU",945262,"Escherichia coli str. K-12 substr. MG1655","tRNA(metU)"
"116","metT",945280,"Escherichia coli str. K-12 substr. MG1655","tRNA(metT)"
"117","ynbC",945970,"Escherichia coli str. K-12 substr. MG1655","putative esterase(ynbC)"
"118","ynbD",945985,"Escherichia coli str. K-12 substr. MG1655","putative phosphatase inner membrane protein(ynbD)"
"119","ynbA",945973,"Escherichia coli str. K-12 substr. MG1655","inner membrane protein(ynbA)"
"120","ynbB",945972,"Escherichia coli str. K-12 substr. MG1655","putative CDP-diglyceride synthase(ynbB)"
"121","macA",947322,"Escherichia coli str. K-12 substr. MG1655","macrolide transporter membrane fusion protein (MFP) component(macA)"
"122","aspS",946385,"Escherichia coli str. K-12 substr. MG1655","aspartyl-tRNA synthetase(aspS)"
"123","macB",945164,"Escherichia coli str. K-12 substr. MG1655","macrolide ABC transporter peremase/ATPase(macB)"
"124","aspU",944880,"Escherichia coli str. K-12 substr. MG1655","tRNA(aspU)"
"125","aspV",947541,"Escherichia coli str. K-12 substr. MG1655","tRNA(aspV)"
"126","metI",944894,"Escherichia coli str. K-12 substr. MG1655","DL-methionine transporter subunit(metI)"
"127","ynaE",946078,"Escherichia coli str. K-12 substr. MG1655","cold shock protein, Rac prophage(ynaE)"
"128","ynaI",945898,"Escherichia coli str. K-12 substr. MG1655","mechanosensitive channel protein, very small conductance(ynaI)"
"129","ynaJ",945901,"Escherichia coli str. K-12 substr. MG1655","DUF2534 family putative inner membrane protein(ynaJ)"
"130","envY",949114,"Escherichia coli str. K-12 substr. MG1655","porin thermoregulatory transcriptional activator(envY)"
"131","ynaK",947417,"Escherichia coli str. K-12 substr. MG1655","Rac prophage; conserved protein(ynaK)"
"132","mntR",945437,"Escherichia coli str. K-12 substr. MG1655","Mn(2+)-responsive manganese regulon transcriptional regulator(mntR)"
"133","glnD",944863,"Escherichia coli str. K-12 substr. MG1655","uridylyltransferase(glnD)"
"134","glnH",944872,"Escherichia coli str. K-12 substr. MG1655","glutamine transporter subunit(glnH)"
"135","intD",947162,"Escherichia coli str. K-12 substr. MG1655","DLP12 prophage; putative phage integrase(intD)"
"136","glnU",945269,"Escherichia coli str. K-12 substr. MG1655","tRNA(glnU)"
"137","glnV",945255,"Escherichia coli str. K-12 substr. MG1655","tRNA(glnV)"
"138","clpP",945082,"Escherichia coli str. K-12 substr. MG1655","proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases(clpP)"
"139","glnW",945750,"Escherichia coli str. K-12 substr. MG1655","tRNA(glnW)"
"140","glnX",945257,"Escherichia coli str. K-12 substr. MG1655","tRNA(glnX)"
"141","glnQ",945435,"Escherichia coli str. K-12 substr. MG1655","glutamine transporter subunit(glnQ)"
"142","glnS",945310,"Escherichia coli str. K-12 substr. MG1655","glutamyl-tRNA synthetase(glnS)"
"143","clpS",948443,"Escherichia coli str. K-12 substr. MG1655","regulatory protein for ClpA substrate specificity(clpS)"
"144","intQ",946130,"Escherichia coli str. K-12 substr. MG1655","pseudo(intQ)"
"145","intR",946976,"Escherichia coli str. K-12 substr. MG1655","Rac prophage; integrase(intR)"
"146","pncA",946276,"Escherichia coli str. K-12 substr. MG1655","nicotinamidase/pyrazinamidase(pncA)"
"147","pncB",946648,"Escherichia coli str. K-12 substr. MG1655","nicotinate phosphoribosyltransferase(pncB)"
"148","glnP",945621,"Escherichia coli str. K-12 substr. MG1655","glutamine transporter subunit(glnP)"
"149","glnK",945087,"Escherichia coli str. K-12 substr. MG1655","nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB(glnK)"
"150","gloB",944902,"Escherichia coli str. K-12 substr. MG1655","hydroxyacylglutathione hydrolase(gloB)"
"151","wrbA",947263,"Escherichia coli str. K-12 substr. MG1655","NAD(P)H:quinone oxidoreductase(wrbA)"
"152","gloA",946161,"Escherichia coli str. K-12 substr. MG1655","glyoxalase I, Ni-dependent(gloA)"
"153","clpX",945083,"Escherichia coli str. K-12 substr. MG1655","ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease(clpX)"
"154","cdsA",944876,"Escherichia coli str. K-12 substr. MG1655","CDP-diglyceride synthase(cdsA)"
"155","fdnH",948794,"Escherichia coli str. K-12 substr. MG1655","formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible(fdnH)"
"156","fdnI",946038,"Escherichia coli str. K-12 substr. MG1655","formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible(fdnI)"
"157","phoH",948010,"Escherichia coli str. K-12 substr. MG1655","ATP-binding protein; putative PhoH family P-loop ATPase(phoH)"
"158","fdnG",946035,"Escherichia coli str. K-12 substr. MG1655","formate dehydrogenase-N, alpha subunit, nitrate-inducible(fdnG)"
"159","phoQ",946326,"Escherichia coli str. K-12 substr. MG1655","sensory histidine kinase in two-component regulatory system with PhoP(phoQ)"
"160","phoR",945044,"Escherichia coli str. K-12 substr. MG1655","sensory histidine kinase in two-component regulatory system with PhoB(phoR)"
"161","phoP",945697,"Escherichia coli str. K-12 substr. MG1655","response regulator in two-component regulatory system with PhoQ(phoP)"
"162","valZ",945345,"Escherichia coli str. K-12 substr. MG1655","tRNA(valZ)"
"163","valV",946170,"Escherichia coli str. K-12 substr. MG1655","tRNA(valV)"
"164","phoE",944926,"Escherichia coli str. K-12 substr. MG1655","outer membrane phosphoporin protein E(phoE)"
"165","valW",949069,"Escherichia coli str. K-12 substr. MG1655","tRNA(valW)"
"166","astA",946261,"Escherichia coli str. K-12 substr. MG1655","arginine succinyltransferase(astA)"
"167","phoB",945046,"Escherichia coli str. K-12 substr. MG1655","response regulator in two-component regulatory system with PhoR(phoB)"
"168","phoA",945041,"Escherichia coli str. K-12 substr. MG1655","bacterial alkaline phosphatase(phoA)"
"169","hipA",946064,"Escherichia coli str. K-12 substr. MG1655","inactivating GltX kinase facilitating persister formation; toxin of HipAB TA pair; autokinase(hipA)"
"170","hipB",946065,"Escherichia coli str. K-12 substr. MG1655","antitoxin of HipAB toxin-antitoxin system(hipB)"
"171","valT",945331,"Escherichia coli str. K-12 substr. MG1655","tRNA(valT)"
"172","yeaY",946312,"Escherichia coli str. K-12 substr. MG1655","Slp family lipoprotein, RpoE-regulated(yeaY)"
"173","prfA",949002,"Escherichia coli str. K-12 substr. MG1655","peptide chain release factor RF-1(prfA)"
"174","yeaW",946325,"Escherichia coli str. K-12 substr. MG1655","putative YeaWX dioxygenase alpha subunit; 2Fe-2S cluster(yeaW)"
"175","yeaX",946329,"Escherichia coli str. K-12 substr. MG1655","putative YeaWX dioxygenase beta subunit, reductase component(yeaX)"
"176","yeaV",947326,"Escherichia coli str. K-12 substr. MG1655","putative transporter(yeaV)"
"177","yebE",946355,"Escherichia coli str. K-12 substr. MG1655","DUF533 family inner membrane protein(yebE)"
"178","yebB",946377,"Escherichia coli str. K-12 substr. MG1655","DUF830 family protein(yebB)"
"179","yebC",946379,"Escherichia coli str. K-12 substr. MG1655","UPF0082 family protein(yebC)"
"180","yneG",946171,"Escherichia coli str. K-12 substr. MG1655","DUF4186 family protein(yneG)"
"181","yneF",947422,"Escherichia coli str. K-12 substr. MG1655","putative membrane-bound diguanylate cyclase(yneF)"
"182","yneE",946188,"Escherichia coli str. K-12 substr. MG1655","bestrophin family putative inner membrane protein(yneE)"
"183","yebK",946373,"Escherichia coli str. K-12 substr. MG1655","putative DNA-binding transcriptional regulator(yebK)"
"184","yebG",946364,"Escherichia coli str. K-12 substr. MG1655","DNA damage-inducible protein regulated by LexA(yebG)"
"185","glyW",946416,"Escherichia coli str. K-12 substr. MG1655","tRNA(glyW)"
"186","yebF",946363,"Escherichia coli str. K-12 substr. MG1655","extracellular Colicin M immunity family protein(yebF)"
"187","yebT",946352,"Escherichia coli str. K-12 substr. MG1655","MCE domain protein(yebT)"
"188","yebS",946353,"Escherichia coli str. K-12 substr. MG1655","inner membrane PqiA domain protein(yebS)"
"189","yneL",946063,"Escherichia coli str. K-12 substr. MG1655","pseudo(yneL)"
"190","yneK",946080,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(yneK)"
"191","yebQ",946048,"Escherichia coli str. K-12 substr. MG1655","putative transporter(yebQ)"
"192","yneJ",946079,"Escherichia coli str. K-12 substr. MG1655","putative DNA-binding transcriptional regulator(yneJ)"
"193","yebO",946350,"Escherichia coli str. K-12 substr. MG1655","putative inner membrane protein(yebO)"
"194","yeaC",947074,"Escherichia coli str. K-12 substr. MG1655","DUF1315 family protein(yeaC)"
"195","yeaD",946572,"Escherichia coli str. K-12 substr. MG1655","D-hexose-6-phosphate epimerase-like protein(yeaD)"
"196","ynfF",945268,"Escherichia coli str. K-12 substr. MG1655","S- and N-oxide reductase, A subunit, periplasmic(ynfF)"
"197","yeaJ",946290,"Escherichia coli str. K-12 substr. MG1655","putative diguanylate cyclase(yeaJ)"
"198","ynfE",946135,"Escherichia coli str. K-12 substr. MG1655","putative selenate reductase, periplasmic(ynfE)"
"199","yeaI",946366,"Escherichia coli str. K-12 substr. MG1655","putative membrane-anchored diguanylate cyclase(yeaI)"
"200","yeaL",946307,"Escherichia coli str. K-12 substr. MG1655","UPF0756 family putative inner membrane protein(yeaL)"
"201","ynfH",945822,"Escherichia coli str. K-12 substr. MG1655","oxidoreductase, membrane subunit(ynfH)"
"202","yeaK",946303,"Escherichia coli str. K-12 substr. MG1655","aminoacyl-tRNA editing domain protein(yeaK)"
"203","ynfG",945638,"Escherichia coli str. K-12 substr. MG1655","oxidoreductase, Fe-S subunit(ynfG)"
"204","ynfB",946119,"Escherichia coli str. K-12 substr. MG1655","UPF0482 family putative periplasmic protein(ynfB)"
"205","ynfA",946125,"Escherichia coli str. K-12 substr. MG1655","UPF0060 family inner membrane protein(ynfA)"
"206","yeaE",946302,"Escherichia coli str. K-12 substr. MG1655","aldo-keto reductase, methylglyoxal to acetol, NADPH-dependent(yeaE)"
"207","ynfD",946133,"Escherichia coli str. K-12 substr. MG1655","DUF1161 family periplasmic protein(ynfD)"
"208","yeaH",946296,"Escherichia coli str. K-12 substr. MG1655","UPF0229 family protein(yeaH)"
"209","ynfC",946131,"Escherichia coli str. K-12 substr. MG1655","UPF0257 family lipoprotein(ynfC)"
"210","yeaG",946297,"Escherichia coli str. K-12 substr. MG1655","protein kinase, endogenous substrate unidentified; autokinase(yeaG)"
"211","ynfN",946097,"Escherichia coli str. K-12 substr. MG1655","Qin prophage; cold shock-induced protein(ynfN)"
"212","yeaR",946317,"Escherichia coli str. K-12 substr. MG1655","DUF1971 family protein, nitrate-inducible(yeaR)"
"213","astE",946256,"Escherichia coli str. K-12 substr. MG1655","succinylglutamate desuccinylase(astE)"
"214","astD",946260,"Escherichia coli str. K-12 substr. MG1655","succinylglutamic semialdehyde dehydrogenase(astD)"
"215","prfH",947374,"Escherichia coli str. K-12 substr. MG1655","pseudo(prfH)"
"216","ynfM",946138,"Escherichia coli str. K-12 substr. MG1655","putative arabinose efflux transporter(ynfM)"
"217","yeaQ",946311,"Escherichia coli str. K-12 substr. MG1655","UPF0410 family protein(yeaQ)"
"218","astC",946255,"Escherichia coli str. K-12 substr. MG1655","succinylornithine transaminase, PLP-dependent(astC)"
"219","astB",946259,"Escherichia coli str. K-12 substr. MG1655","succinylarginine dihydrolase(astB)"
"220","yeaN",946309,"Escherichia coli str. K-12 substr. MG1655","putative MFS transporter, inner membrane protein(yeaN)"
"221","yeaM",946590,"Escherichia coli str. K-12 substr. MG1655","putative DNA-binding transcriptional regulator(yeaM)"
"222","ynfL",946136,"Escherichia coli str. K-12 substr. MG1655","LysR family putative transcriptional regulator(ynfL)"
"223","yeaP",948969,"Escherichia coli str. K-12 substr. MG1655","diguanylate cyclase(yeaP)"
"224","yeaO",945675,"Escherichia coli str. K-12 substr. MG1655","DUF488 family protein(yeaO)"
"225","rnhB",944852,"Escherichia coli str. K-12 substr. MG1655","ribonuclease HII, degrades RNA of DNA-RNA hybrids(rnhB)"
"226","rnhA",946955,"Escherichia coli str. K-12 substr. MG1655","ribonuclease HI, degrades RNA of DNA-RNA hybrids(rnhA)"
"227","yncE",946006,"Escherichia coli str. K-12 substr. MG1655","ATP-binding protein, periplasmic, function unknown(yncE)"
"228","yncD",946015,"Escherichia coli str. K-12 substr. MG1655","putative iron outer membrane transporter(yncD)"
"229","yncH",946024,"Escherichia coli str. K-12 substr. MG1655","IPR020099 family protein(yncH)"
"230","yncG",946023,"Escherichia coli str. K-12 substr. MG1655","glutathione S-transferase homolog(yncG)"
"231","yedW",946486,"Escherichia coli str. K-12 substr. MG1655","response regulator family protein(yedW)"
"232","yedV",946487,"Escherichia coli str. K-12 substr. MG1655","putative sensory kinase in two-component regulatory system with YedW(yedV)"
"233","yncJ",945990,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(yncJ)"
"234","yebV",946347,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(yebV)"
"235","yebW",946354,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(yebW)"
"236","yebY",947014,"Escherichia coli str. K-12 substr. MG1655","DUF2511 family protein(yebY)"
"237","priC",945071,"Escherichia coli str. K-12 substr. MG1655","primosomal replication protein N''(priC)"
"238","yebZ",947078,"Escherichia coli str. K-12 substr. MG1655","inner membrane protein(yebZ)"
"239","yecA",945061,"Escherichia coli str. K-12 substr. MG1655","UPF0149 family protein(yecA)"
"240","yecD",946384,"Escherichia coli str. K-12 substr. MG1655","isochorismatase family protein(yecD)"
"241","yecE",946382,"Escherichia coli str. K-12 substr. MG1655","UPF0759 family protein(yecE)"
"242","yecH",946411,"Escherichia coli str. K-12 substr. MG1655","DUF2492 family protein(yecH)"
"243","yecJ",946388,"Escherichia coli str. K-12 substr. MG1655","DUF2766 family protein(yecJ)"
"244","ldrC",2847775,"Escherichia coli str. K-12 substr. MG1655","toxic polypeptide, small(ldrC)"
"245","ldrB",2847735,"Escherichia coli str. K-12 substr. MG1655","toxic polypeptide, small(ldrB)"
"246","yecN",946381,"Escherichia coli str. K-12 substr. MG1655","MAPEG family inner membrane protein(yecN)"
"247","yecM",946415,"Escherichia coli str. K-12 substr. MG1655","putative metal-binding enzyme(yecM)"
"248","ldrA",2847733,"Escherichia coli str. K-12 substr. MG1655","toxic polypeptide, small(ldrA)"
"249","yecR",946386,"Escherichia coli str. K-12 substr. MG1655","lipoprotein, function unknown(yecR)"
"250","yecT",946511,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(yecT)"
"251","pdxY",946162,"Escherichia coli str. K-12 substr. MG1655","pyridoxamine kinase(pdxY)"
"252","yniC",945632,"Escherichia coli str. K-12 substr. MG1655","2-deoxyglucose-6-P phosphatase(yniC)"
